Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,732.90,662.38,443.42,498.11,1009.61
Total Revenue,732.90,662.38,443.42,498.11,1009.61
"Selling/General/Admin. Expenses, Total",167.31,144.69,135.78,143.02,184.87
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),132.40,97.72,0.00,0,0
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,299.71,242.41,135.78,143.02,184.87
Operating Income,433.19,419.97,307.64,355.09,824.74
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,-0.20,-0.18
"Other, Net",0,0,0,0,0
Net Income Before Taxes,433.19,419.97,307.64,354.89,824.56
Provision for Income Taxes,71.27,45.72,13.80,22.01,256.81
Net Income After Taxes,361.92,374.25,293.85,332.88,567.75
Net Income Before Extra. Items,317.88,345.39,270.81,307.59,521.49
Net Income,317.88,345.39,270.81,307.59,521.49
Income Available to Com Excl ExtraOrd,317.88,345.39,270.81,307.59,521.49
Income Available to Com Incl ExtraOrd,317.88,345.39,270.81,307.59,521.49
Diluted Net Income,317.88,345.39,270.81,307.59,521.49
Diluted Weighted Average Shares,98.96,96.89,96.34,96.29,96.29
Diluted EPS Excluding ExtraOrd Items,3.21,3.56,2.81,3.19,5.42
DPS - Common Stock Primary Issue,3.22,3.41,2.76,2.67,4.08
Diluted Normalised EPS,4.33,4.46,2.81,3.19,5.42
