Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,7.10,24.19,1.88,0.25,0.13
Total Revenue,7.10,24.19,1.88,0.25,0.13
"Selling/General/Admin. Expenses, Total",7.15,6.92,6.37,4.09,2.30
Depreciation/Amortisation,1.88,1.98,2.66,0.68,0.68
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",26.41,28.85,4.29,3.86,2.60
Total Operating Expense,40.01,39.14,13.59,8.70,5.68
Operating Income,-32.91,-14.96,-11.71,-8.45,-5.54
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-4.20,-3.95,-3.83,-2.28
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-32.91,-19.16,-15.66,-12.28,-7.82
Provision for Income Taxes,0.00,0.38,-0.18,0.00,0.00
Net Income After Taxes,-32.91,-19.54,-15.48,-12.28,-7.82
Net Income Before Extra. Items,-32.91,-19.54,-15.48,-12.28,-7.82
Net Income,-32.91,-19.54,-15.48,-15.82,-17.97
Income Available to Com Excl ExtraOrd,-32.91,-19.54,-15.48,-12.28,-7.82
Income Available to Com Incl ExtraOrd,-32.91,-19.54,-15.48,-15.82,-17.97
Diluted Net Income,-32.91,-19.54,-15.48,-15.82,-17.97
Diluted Weighted Average Shares,310.50,1023.88,1041.13,1191.79,1324.21
Diluted EPS Excluding ExtraOrd Items,-0.11,-0.02,-0.01,-0.01,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.06,-0.02,-0.01,-0.01,-0.01
