Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,5.09,8.51,7.14,5.12,-10.77
Depreciation/Depletion,15.06,15.16,15.25,19.60,20.14
Non-Cash Items,1.33,3.25,5.26,1.78,7.30
Cash Taxes Paid,0.77,0.42,1.11,2.59,0.25
Changes in Working Capital,-4.52,-39.50,-19.41,-6.04,15.42
Cash from Operating Activities,16.96,-12.56,8.25,20.48,32.12
Capital Expenditures,-1.75,-3.74,-1.71,-4.90,-0.76
"Other Investing Cash Flow Items, Total",1.00,1.22,9.52,1.74,3.61
Cash from Investing Activities,-0.75,-2.52,7.80,-3.16,2.85
Total Cash Dividends Paid,-0.45,-0.61,-0.83,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-20.71,5.00,-11.77,-21.35,-6.55
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-4.50,-10.09,4.28,-4.03,28.41
