Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,117.19,157.23,179.31,133.63,115.96
Total Revenue,117.19,157.23,179.31,133.63,115.96
"Selling/General/Admin. Expenses, Total",17.73,22.19,26.20,21.46,20.75
Depreciation/Amortisation,0.57,0.68,0.66,0.94,0.77
Unusual Expense (Income),-0.56,0.47,0.06,-0.10,-7.34
"Other Operating Expenses, Total",-1.84,-1.25,-1.37,-2.97,-1.81
Total Operating Expense,109.82,146.72,171.03,127.08,124.08
Operating Income,7.37,10.51,8.28,6.55,-8.12
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.15,-1.81,-0.92,-2.69,-2.45
"Other, Net",-0.13,-0.20,-0.22,-0.17,-0.20
Net Income Before Taxes,5.09,8.51,7.14,3.68,-10.77
Provision for Income Taxes,1.31,1.05,2.07,0.75,-3.37
Net Income After Taxes,3.78,7.46,5.07,2.94,-7.40
Net Income Before Extra. Items,4.07,7.90,5.33,2.97,-7.47
Net Income,4.07,7.90,5.33,2.97,-7.47
Income Available to Com Excl ExtraOrd,4.07,7.90,5.33,2.97,-7.47
Income Available to Com Incl ExtraOrd,4.07,7.90,5.33,2.97,-7.47
Diluted Net Income,4.07,7.90,5.33,2.97,-7.47
Diluted Weighted Average Shares,151.38,151.38,151.38,151.38,151.38
Diluted EPS Excluding ExtraOrd Items,0.03,0.05,0.04,0.02,-0.05
DPS - Common Stock Primary Issue,0.00,0.01,0,0,0
Diluted Normalised EPS,0.02,0.05,0.04,0.02,-0.08
