Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,10.98,12.00,6.68,10.22,8.02
Depreciation/Depletion,0.83,0.76,0.82,0.85,1.56
Non-Cash Items,-0.47,-0.80,-0.73,-0.77,0.11
Cash Taxes Paid,1.87,2.06,1.90,1.20,1.51
Changes in Working Capital,1.33,-8.29,-0.26,-2.46,-0.15
Cash from Operating Activities,12.68,3.66,6.52,7.84,9.53
Capital Expenditures,-0.93,-1.73,-0.60,-0.78,-1.03
"Other Investing Cash Flow Items, Total",8.76,0.04,-0.01,2.45,0.91
Cash from Investing Activities,7.83,-1.69,-0.61,1.67,-0.13
Total Cash Dividends Paid,-5.87,-10.07,-5.04,-5.04,-7.55
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-5.79,-10.06,-5.04,-5.04,-8.24
Foreign Exchange Effects,-0.03,-0.50,0.33,0.30,0.56
Net Change in Cash,14.69,-8.59,1.19,4.77,1.72
