Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,1.20,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,0.12,1.20,0.55,0.09,0.44
"Accounts Receivable - Trade, Net",0.17,1.04,1.45,4.87,4.08
"Total Receivables, Net",0.17,1.07,1.45,4.87,4.08
Prepaid Expenses,3.50,0.46,0.21,0.47,0.38
"Other Current Assets, Total",0,0,0.02,0.00,0.01
Total Current Assets,3.83,5.16,4.11,5.83,5.43
"Property/Plant/Equipment, Total - Gross",0,13.68,0,0,0
"Accumulated Depreciation, Total",0,-0.26,0,0,0
"Property/Plant/Equipment, Total - Net",8.51,14.83,12.92,0.11,0.08
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,16.68,21.05,17.32,6.12,5.57
Accounts Payable,0.96,0.72,2.34,1.64,2.81
Accrued Expenses,1.72,2.45,2.51,3.83,6.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.04,0.08,0.00,0.00,2.05
Total Current Liabilities,2.72,3.25,5.99,8.38,11.26
Total Long Term Debt,0.00,0.00,0.00,0.04,0.01
Total Debt,0.00,0.00,1.14,2.95,0.42
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",4.07,4.37,4.09,4.27,4.15
Total Liabilities,6.80,7.54,9.97,12.45,15.15
"Common Stock, Total",44.85,55.62,55.62,56.31,56.45
Retained Earnings (Accumulated Deficit),-33.82,-40.81,-46.20,-60.10,-63.33
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.15,-1.30,-2.08,-2.53,-2.71
Total Equity,9.88,13.51,7.34,-6.32,-9.59
Total Liabilities & Shareholders' Equity,16.68,21.05,17.32,6.12,5.57
Total Common Shares Outstanding,788.71,930.86,936.61,1003.74,1017.08
"Tangible Book Value per Share, Common Eq",0.01,0.01,0.01,-0.01,-0.01
