Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-3.63,-7.05,-6.18,-1.54,-4.04
Depreciation/Depletion,0.02,0.07,0.28,0.12,0.06
Non-Cash Items,0.33,1.94,2.19,0.79,1.39
Cash Taxes Paid,0.02,0.06,0.00,0.00,0.00
Changes in Working Capital,0.67,-3.19,1.99,-1.78,1.12
Cash from Operating Activities,-2.62,-8.23,-1.72,-2.41,-1.47
Capital Expenditures,-0.24,-1.67,-0.03,-0.14,-0.00
"Other Investing Cash Flow Items, Total",0.01,0.01,0.01,0.01,0.01
Cash from Investing Activities,-0.23,-1.66,-0.02,-0.13,0.01
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,10.77,0,0.69,0.00
Cash from Financing Activities,0.47,10.96,1.11,2.07,1.81
Foreign Exchange Effects,-0.02,0.01,-0.03,0.02,-0.00
Net Change in Cash,-2.40,1.08,-0.66,-0.46,0.35
