Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.32,4.10,5.65,11.03,9.65
Total Revenue,0.32,4.10,5.65,11.03,9.65
"Selling/General/Admin. Expenses, Total",3.67,4.98,4.55,2.89,3.81
Depreciation/Amortisation,0,0,0,0.12,0.06
Unusual Expense (Income),0,0,0.01,0.00,0.00
"Other Operating Expenses, Total",-0.01,2.12,1.29,0.00,-0.05
Total Operating Expense,3.95,11.15,11.46,11.86,12.48
Operating Income,-3.63,-7.05,-5.81,-0.82,-2.83
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.37,-0.72,-1.21
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-3.63,-7.05,-6.18,-1.54,-4.04
Provision for Income Taxes,0.00,0.00,0.00,0.00,0.00
Net Income After Taxes,-3.63,-7.05,-6.18,-1.54,-4.04
Net Income Before Extra. Items,-3.62,-6.98,-6.14,-1.54,-4.02
Net Income,-3.62,-6.98,-6.14,-1.54,-4.02
Income Available to Com Excl ExtraOrd,-3.62,-6.98,-6.14,-1.54,-4.02
Income Available to Com Incl ExtraOrd,-3.62,-6.98,-6.14,-1.54,-4.02
Diluted Net Income,-3.62,-6.98,-6.14,-1.54,-4.02
Diluted Weighted Average Shares,788.71,871.40,933.92,965.35,1004.55
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.01,-0.01,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.01,-0.01,-0.00,-0.00
