Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,11.29,9.63,13.42,18.37,10.13
Short Term Investments,52.71,61.42,60.57,62.33,69.30
Cash and Short Term Investments,64.00,71.05,73.99,80.70,79.43
"Accounts Receivable - Trade, Net",6.43,8.37,8.31,11.42,9.50
"Total Receivables, Net",6.69,8.64,8.71,12.27,10.30
Prepaid Expenses,0.18,0.27,0.65,0.61,0.58
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,70.93,80.13,83.64,94.43,91.31
"Property/Plant/Equipment, Total - Gross",1.03,1.56,5.49,11.46,13.72
"Accumulated Depreciation, Total",-0.52,-0.88,-1.26,-2.72,-7.55
"Property/Plant/Equipment, Total - Net",0.51,0.67,4.23,8.74,6.17
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,5.00,4.54,3.40,2.89,7.11
Total Assets,76.46,85.36,91.27,106.08,104.62
Accounts Payable,1.74,0.30,0.52,1.28,0.40
Accrued Expenses,2.02,3.42,4.77,4.63,5.14
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",8.57,7.78,7.45,9.08,10.08
Total Current Liabilities,12.32,11.50,12.74,16.77,17.41
Total Long Term Debt,0.00,0.00,0.00,2.12,2.69
Total Debt,0.00,0.00,0.00,3.89,4.48
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0.03,1.34,5.19,5.50,5.76
Total Liabilities,12.88,13.03,17.51,22.97,21.19
"Common Stock, Total",22.27,22.27,22.27,22.44,23.91
Retained Earnings (Accumulated Deficit),41.30,50.69,51.99,60.96,59.32
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,-0.63,-0.50,-0.29,0.21
Total Equity,63.58,72.33,73.77,83.11,83.43
Total Liabilities & Shareholders' Equity,76.46,85.36,91.27,106.08,104.62
Total Common Shares Outstanding,1314.29,1314.29,1314.29,1314.50,1318.05
"Tangible Book Value per Share, Common Eq",0.05,0.06,0.06,0.06,0.06
