Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,228.31,169.64,234.22,426.22,301.41
Total Revenue,228.31,169.64,234.22,426.22,301.41
"Selling/General/Admin. Expenses, Total",26.84,28.68,18.27,19.05,19.53
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),3.55,0.00,-5.89,0.92,-130.97
"Other Operating Expenses, Total",-10.66,-1.23,-1.16,-0.74,-0.72
Total Operating Expense,178.35,135.35,193.65,390.78,168.68
Operating Income,49.96,34.29,40.58,35.45,132.73
"Interest Inc.(Exp.),Net-Non-Op., Total",-5.08,1.16,-4.90,-7.99,7.84
"Other, Net",0,0,0,0,0
Net Income Before Taxes,44.87,35.45,35.68,27.46,140.56
Provision for Income Taxes,8.63,6.30,5.10,5.33,8.92
Net Income After Taxes,36.25,29.15,30.58,22.13,131.64
Net Income Before Extra. Items,36.10,29.15,30.58,22.21,131.69
Net Income,36.10,29.15,30.58,22.21,131.69
Income Available to Com Excl ExtraOrd,36.10,29.15,30.58,22.21,131.69
Income Available to Com Incl ExtraOrd,36.10,29.15,30.58,22.21,131.69
Diluted Net Income,36.10,29.15,30.58,22.21,131.69
Diluted Weighted Average Shares,320.00,320.00,311.50,311.47,311.25
Diluted EPS Excluding ExtraOrd Items,0.11,0.09,0.10,0.07,0.42
DPS - Common Stock Primary Issue,0.02,0.02,0.02,0.01,0.01
Diluted Normalised EPS,0.12,0.09,0.08,0.07,0.03
