Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,48.07,53.07,88.39,51.76,218.91
Short Term Investments,65.30,58.32,0.01,0.00,0
Cash and Short Term Investments,113.37,111.39,108.34,128.45,297.99
"Accounts Receivable - Trade, Net",64.19,59.72,48.54,60.06,68.54
"Total Receivables, Net",112.34,91.01,159.46,175.18,115.45
Prepaid Expenses,0.54,1.88,0,0,0
"Other Current Assets, Total",1.43,5.52,0,9.10,0.00
Total Current Assets,258.29,240.52,294.47,339.45,416.00
"Property/Plant/Equipment, Total - Gross",2.57,2.04,0,0,0
"Accumulated Depreciation, Total",-1.76,-1.26,0,0,0
"Property/Plant/Equipment, Total - Net",0.81,0.78,0.91,11.71,10.41
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0.12,0.12,0.11
Long Term Investments,187.67,187.08,254.22,272.18,188.80
Total Assets,452.83,435.65,565.95,671.52,724.89
Accounts Payable,72.49,66.57,0,0,0
Accrued Expenses,8.12,6.22,0,0,0
Notes Payable/Short Term Debt,18.30,5.10,66.52,91.56,0.21
"Other Current liabilities, Total",46.44,41.07,29.57,30.08,68.52
Total Current Liabilities,145.35,118.95,196.61,249.86,202.68
Total Long Term Debt,70.06,65.41,79.76,105.96,45.81
Total Debt,88.35,70.50,146.31,200.53,47.40
Deferred Income Tax,3.08,3.77,3.97,5.04,0.68
"Other Liabilities, Total",4.97,3.42,4.57,13.38,50.01
Total Liabilities,223.46,191.55,284.92,374.15,299.04
"Common Stock, Total",15.00,15.00,15.00,15.00,15.00
Retained Earnings (Accumulated Deficit),215.69,237.85,273.31,288.63,417.44
Treasury Stock - Common,-0.04,-8.89,-8.24,-7.48,-7.24
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.27,0.13,0.97,1.22,0.66
Total Equity,229.38,244.10,281.03,297.37,425.86
Total Liabilities & Shareholders' Equity,452.83,435.65,565.95,671.52,724.89
Total Common Shares Outstanding,320.00,308.91,309.71,310.65,311.03
"Tangible Book Value per Share, Common Eq",0.72,0.79,0.91,0.96,1.37
