Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,44.87,35.45,35.68,27.46,140.56
Depreciation/Depletion,7.08,6.69,6.57,10.36,9.26
Non-Cash Items,-0.99,3.65,3.34,13.82,-140.04
Cash Taxes Paid,5.62,5.87,7.85,7.21,6.85
Changes in Working Capital,-7.01,-20.59,-45.63,55.54,27.00
Cash from Operating Activities,43.95,25.20,-0.04,107.18,36.79
Capital Expenditures,-0.39,-0.29,-0.65,-4.84,-0.64
"Other Investing Cash Flow Items, Total",-15.60,7.76,-73.47,-86.27,257.26
Cash from Investing Activities,-15.99,7.47,-74.11,-91.11,256.62
Total Cash Dividends Paid,0.00,-7.99,-4.64,-6.21,-2.49
"Issuance (Retirement) of Stock, Net",-0.04,-9.16,0.00,0,-0.29
Cash from Financing Activities,-4.91,-35.00,71.13,3.82,-123.92
Foreign Exchange Effects,-0.56,0.34,-0.04,0.24,0.05
Net Change in Cash,22.50,-1.99,-3.06,20.12,169.54
