Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,108.53,162.62,173.92,137.12,91.69
Total Revenue,108.53,162.62,173.92,137.12,91.69
"Selling/General/Admin. Expenses, Total",8.32,9.23,9.80,10.15,9.25
Depreciation/Amortisation,1.65,1.63,1.62,4.44,2.27
Unusual Expense (Income),-0.27,10.13,1.89,-0.49,-1.14
"Other Operating Expenses, Total",-2.61,1.10,0.25,-2.77,-1.41
Total Operating Expense,107.63,174.56,177.67,135.43,89.21
Operating Income,0.90,-11.94,-3.74,1.69,2.48
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.02,-0.17,-0.89,-1.10
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.90,-11.95,-3.91,0.80,1.38
Provision for Income Taxes,-0.01,0.01,0.03,0.04,0.04
Net Income After Taxes,0.91,-11.96,-3.94,0.76,1.34
Net Income Before Extra. Items,0.90,-11.93,-3.95,0.76,1.03
Net Income,0.90,-11.93,-3.95,0.76,1.03
Income Available to Com Excl ExtraOrd,0.90,-11.93,-3.95,0.76,1.03
Income Available to Com Incl ExtraOrd,0.90,-11.93,-3.95,0.76,1.03
Diluted Net Income,0.90,-11.93,-3.95,0.76,1.03
Diluted Weighted Average Shares,127.44,127.42,127.42,127.42,127.42
Diluted EPS Excluding ExtraOrd Items,0.01,-0.09,-0.03,0.01,0.01
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0.01
Diluted Normalised EPS,0.01,-0.04,-0.02,0.00,-0.00
