Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0.00,0.02,0.52,6.52
Cash and Short Term Investments,30.70,28.85,15.46,23.44,25.97
"Accounts Receivable - Trade, Net",34.76,44.28,51.17,49.29,37.67
"Total Receivables, Net",34.76,44.28,51.17,49.34,37.72
Prepaid Expenses,0.32,0.13,0.66,0.53,0.17
"Other Current Assets, Total",7.04,19.52,9.50,2.50,6.00
Total Current Assets,87.03,110.35,107.67,118.86,97.99
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",13.86,12.43,22.92,43.53,45.17
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.07,0.06,0.01,0.12,0.12
Long Term Investments,50.86,0.00,10.04,9.52,3.01
Total Assets,151.82,122.84,144.49,172.82,147.07
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.85,1.44,1.49,0.82,0.25
Total Current Liabilities,18.00,16.08,40.37,57.98,17.10
Total Long Term Debt,0.14,0.00,0.00,10.98,24.29
Total Debt,2.34,0.14,3.42,32.10,27.90
Deferred Income Tax,0,0,0,0.03,0.06
"Other Liabilities, Total",3.98,2.55,1.22,1.17,1.77
Total Liabilities,22.39,18.63,44.25,74.08,47.37
"Common Stock, Total",152.05,70.50,70.50,70.50,70.50
Retained Earnings (Accumulated Deficit),-20.41,35.93,31.96,30.46,31.42
Treasury Stock - Common,-2.22,-2.22,-2.22,-2.22,-2.22
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,129.43,104.21,100.24,98.74,99.70
Total Liabilities & Shareholders' Equity,151.82,122.84,144.49,172.82,147.07
Total Common Shares Outstanding,127.42,127.42,127.42,127.42,127.42
"Tangible Book Value per Share, Common Eq",1.02,0.82,0.79,0.77,0.78
