Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.90,-11.95,-3.91,0.80,1.38
Depreciation/Depletion,2.54,2.57,2.76,5.71,3.92
Non-Cash Items,-4.16,9.06,0.15,-0.36,0.98
Cash Taxes Paid,-0.07,0.01,0.03,0.01,0.01
Changes in Working Capital,-7.88,-13.27,-12.80,-10.50,7.58
Cash from Operating Activities,-8.58,-13.59,-13.79,-4.34,13.88
Capital Expenditures,-0.36,-0.35,-4.46,-10.55,-10.33
"Other Investing Cash Flow Items, Total",-5.48,28.24,0.09,7.01,-2.57
Cash from Investing Activities,-5.83,27.90,-4.37,-3.54,-12.89
Total Cash Dividends Paid,0,-0.64,0.00,0,0
"Issuance (Retirement) of Stock, Net",-0.31,0.00,1.53,0.77,0
Cash from Financing Activities,-5.43,-16.43,4.83,15.33,-4.35
Foreign Exchange Effects,0.03,0.27,-0.08,0.03,-0.10
Net Change in Cash,-19.81,-1.86,-13.41,7.48,-3.46
