Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,31.60,2.63,3.29,0.38,1.14
Total Revenue,31.60,2.63,3.29,0.38,1.14
"Selling/General/Admin. Expenses, Total",0.12,0.06,0.15,0.04,0.00
Depreciation/Amortisation,16.03,0.01,0.06,0.02,0.08
Unusual Expense (Income),-22.19,0.00,-0.00,0.00,0.94
"Other Operating Expenses, Total",-1.89,0.79,0.93,0.61,0.50
Total Operating Expense,2.09,2.46,3.83,1.98,3.57
Operating Income,29.51,0.18,-0.54,-1.59,-2.42
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0.00,-0.16
"Other, Net",0,0,0,0,0
Net Income Before Taxes,29.51,0.18,-0.54,-1.59,-2.58
Provision for Income Taxes,1.57,0.05,0.03,0.00,0.00
Net Income After Taxes,27.94,0.13,-0.57,-1.59,-2.58
Net Income Before Extra. Items,27.91,0.10,-0.59,-1.60,-2.06
Net Income,27.91,3.42,-2.02,-1.39,-2.34
Income Available to Com Excl ExtraOrd,27.91,0.10,-0.59,-1.60,-2.06
Income Available to Com Incl ExtraOrd,27.91,3.42,-2.02,-1.39,-2.34
Diluted Net Income,27.91,3.42,-2.02,-1.39,-2.34
Diluted Weighted Average Shares,84.50,84.50,84.50,84.50,84.50
Diluted EPS Excluding ExtraOrd Items,0.33,0.00,-0.01,-0.02,-0.02
DPS - Common Stock Primary Issue,0.00,0.01,0.10,0.00,0
Diluted Normalised EPS,0.08,0.00,-0.01,-0.02,-0.02
