Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,29.51,0.18,-0.54,-1.36,-2.58
Depreciation/Depletion,0,0.01,0,0,0
Non-Cash Items,-9.92,20.40,10.85,-0.11,1.55
Cash Taxes Paid,0.19,2.18,0.25,0.00,0.01
Changes in Working Capital,1.82,-2.97,0.73,0.03,-0.06
Cash from Operating Activities,21.41,17.62,11.04,-1.43,-1.09
Capital Expenditures,-21.96,-17.91,-10.10,-0.14,-0.00
"Other Investing Cash Flow Items, Total",39.21,0.94,7.03,0.51,-30.00
Cash from Investing Activities,17.24,-16.97,-3.06,0.37,-30.00
Total Cash Dividends Paid,-0.41,-0.41,-30.00,-8.45,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,1.10,-1.02,-30.23,-8.45,24.99
Foreign Exchange Effects,0.01,-0.01,0.00,0.00,0.00
Net Change in Cash,39.76,-0.38,-22.25,-9.50,-6.10
