Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,57.03,59.16,46.77,41.18,36.62
Total Revenue,57.03,59.16,46.77,41.18,36.62
"Selling/General/Admin. Expenses, Total",31.71,25.81,23.92,22.22,18.56
Depreciation/Amortisation,2.16,2.41,12.76,7.98,5.94
Unusual Expense (Income),13.52,0.31,1.51,17.28,-18.07
"Other Operating Expenses, Total",9.75,4.08,29.39,2.93,3.76
Total Operating Expense,85.33,68.86,91.46,66.04,22.85
Operating Income,-28.31,-9.70,-44.69,-24.86,13.76
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-28.31,-9.70,-44.69,-24.86,13.76
Provision for Income Taxes,-2.13,0.70,0.51,0.09,0.52
Net Income After Taxes,-26.18,-10.40,-45.20,-24.95,13.24
Net Income Before Extra. Items,-25.31,-8.41,-41.71,-24.90,12.82
Net Income,-25.31,-8.41,-41.71,-24.90,12.82
Income Available to Com Excl ExtraOrd,-25.31,-8.41,-41.71,-24.90,12.82
Income Available to Com Incl ExtraOrd,-25.31,-8.41,-41.71,-24.90,12.82
Diluted Net Income,-25.31,-8.41,-41.71,-24.90,12.82
Diluted Weighted Average Shares,500.25,547.41,552.75,646.84,646.87
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.02,-0.08,-0.04,0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.03,-0.01,-0.07,-0.02,0.00
