Fiscal Year,2015,2016,2017,2018,2020
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,30 Jun 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,28.74,30.53,46.00,31.69,41.01
Short Term Investments,5.32,2.40,89.54,83.48,118.97
Cash and Short Term Investments,34.06,34.27,135.54,115.17,159.98
"Accounts Receivable - Trade, Net",62.47,66.13,73.19,14.66,12.25
"Total Receivables, Net",72.54,69.97,81.26,19.38,19.73
Prepaid Expenses,1.72,1.46,4.21,1.40,1.40
"Other Current Assets, Total",4.51,4.90,9.70,219.15,2.46
Total Current Assets,256.32,251.06,379.04,503.55,285.76
"Property/Plant/Equipment, Total - Gross",99.28,93.51,498.26,413.99,499.79
"Accumulated Depreciation, Total",-3.49,-37.34,-97.51,-68.21,-80.71
"Property/Plant/Equipment, Total - Net",95.79,56.17,400.74,345.78,419.09
"Goodwill, Net",108.27,78.87,537.74,488.08,486.67
"Intangibles, Net",8.85,4.44,9.95,1.05,0.79
Long Term Investments,187.53,177.35,180.87,150.61,102.01
Total Assets,657.30,568.45,1508.88,1489.07,1294.32
Accounts Payable,6.07,5.72,0,0,14.97
Accrued Expenses,11.86,11.35,0,0,26.78
Notes Payable/Short Term Debt,0.00,0.00,99.91,0.00,0.00
"Other Current liabilities, Total",55.44,12.20,452.43,79.14,26.12
Total Current Liabilities,74.37,30.26,626.47,356.01,73.50
Total Long Term Debt,120.08,116.10,121.10,341.67,657.03
Total Debt,121.08,117.10,221.22,578.30,662.66
Deferred Income Tax,12.07,3.17,11.51,6.96,10.30
"Other Liabilities, Total",0.00,11.51,13.04,0.30,0.63
Total Liabilities,214.17,163.19,887.36,775.03,816.42
"Common Stock, Total",742.20,782.97,788.27,2772.21,2364.50
Retained Earnings (Accumulated Deficit),-242.61,-305.91,-80.77,-2056.70,-1805.47
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.29,0.36,0.41,-0.47,0
"Other Equity, Total",-56.74,-72.16,-86.39,-1.00,-81.13
Total Equity,443.14,405.26,621.52,714.04,477.90
Total Liabilities & Shareholders' Equity,657.30,568.45,1508.88,1489.07,1294.32
Total Common Shares Outstanding,4383.24,4669.64,4738.42,26176.51,26441.02
"Tangible Book Value per Share, Common Eq",0.07,0.07,0.02,0.01,-0.00
