Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,356002.00,185620.00,287120.00,427070.00,760670.00
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,517097.00,216715.00,299053.00,503753.00,791953.00
"Accounts Receivable - Trade, Net",236941.00,250328.00,457955.00,323668.00,47293.00
"Total Receivables, Net",580494.00,546243.00,699487.00,468944.00,135183.00
Prepaid Expenses,320014.00,396058.00,562140.00,598795.00,536485.00
"Other Current Assets, Total",5333.00,7779.00,8538.00,7312.00,7831.00
Total Current Assets,2294806.00,1906424.00,2410031.00,2505958.00,2617864.00
"Property/Plant/Equipment, Total - Gross",12293762.00,13213177.00,13926066.00,14611496.00,15731982.00
"Accumulated Depreciation, Total",-1961692.00,-2476720.00,-2963739.00,-3548399.00,-4193326.00
"Property/Plant/Equipment, Total - Net",10332070.00,10736457.00,10962327.00,11063097.00,11538656.00
"Goodwill, Net",167901.00,167901.00,167901.00,167901.00,167901.00
"Intangibles, Net",8133.00,6264.00,9523.00,10047.00,14705.00
Long Term Investments,70369.00,72541.00,82693.00,0.00,0
Total Assets,14766985.00,15289546.00,16538804.00,17444168.00,18232800.00
Accounts Payable,472898.00,499605.00,774865.00,612032.00,487470.00
Accrued Expenses,171012.00,190679.00,209829.00,192590.00,221201.00
Notes Payable/Short Term Debt,0.00,0.00,3492597.00,0.00,0.00
"Other Current liabilities, Total",263755.00,248852.00,1153452.00,290354.00,731301.00
Total Current Liabilities,1915365.00,1277836.00,6427198.00,1720521.00,1722072.00
Total Long Term Debt,3860462.00,4410260.00,934900.00,6096769.00,5725674.00
Total Debt,4868162.00,4748960.00,5223952.00,6722314.00,6007774.00
Deferred Income Tax,164488.00,183759.00,128273.00,125011.00,137607.00
"Other Liabilities, Total",1304963.00,945979.00,48705.00,70687.00,113604.00
Total Liabilities,8048894.00,7840139.00,8767694.00,9362122.00,9216125.00
"Common Stock, Total",1807045.00,1807045.00,1807045.00,1807045.00,1807045.00
Retained Earnings (Accumulated Deficit),4977094.00,5778018.00,6359407.00,6612813.00,7550693.00
Treasury Stock - Common,-17946.00,-131028.00,-133713.00,-147449.00,-161366.00
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-48102.00,-4628.00,-261629.00,-190363.00,-179697.00
Total Equity,6718091.00,7449407.00,7771110.00,8082046.00,9016675.00
Total Liabilities & Shareholders' Equity,14766985.00,15289546.00,16538804.00,17444168.00,18232800.00
Total Common Shares Outstanding,1755.28,1739.82,1739.41,1737.50,1734.14
"Tangible Book Value per Share, Common Eq",3727.08,4181.60,4365.67,4549.13,5094.20
