Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,6629772.00,8131384.00,8377370.00,7691341.00,9101746.00
Total Revenue,6629772.00,8131384.00,8377370.00,7691341.00,9101746.00
"Selling/General/Admin. Expenses, Total",382400.00,437499.00,503051.00,595834.00,549769.00
Depreciation/Amortisation,11792.00,12405.00,17001.00,18369.00,19145.00
Unusual Expense (Income),-26943.00,-10952.00,47657.00,-19906.00,-25690.00
"Other Operating Expenses, Total",-16032.00,29551.00,22135.00,51872.00,26605.00
Total Operating Expense,5005348.00,6210717.00,6579977.00,6604418.00,7145428.00
Operating Income,1624424.00,1920667.00,1797393.00,1086923.00,1956318.00
"Interest Inc.(Exp.),Net-Non-Op., Total",12952.00,-26211.00,-92105.00,106243.00,-25778.00
"Other, Net",0,0,0,0,0
Net Income Before Taxes,1637376.00,1894456.00,1705288.00,1193166.00,1930540.00
Provision for Income Taxes,363062.00,470260.00,409950.00,352825.00,568135.00
Net Income After Taxes,1274314.00,1424196.00,1295338.00,840341.00,1362405.00
Net Income Before Extra. Items,1091264.00,1193341.00,1097080.00,686313.00,1126393.00
Net Income,1091264.00,1193341.00,1097080.00,686313.00,1126393.00
Income Available to Com Excl ExtraOrd,1091264.00,1193341.00,1097080.00,686313.00,1126393.00
Income Available to Com Incl ExtraOrd,1091264.00,1193341.00,1097080.00,686313.00,1126393.00
Diluted Net Income,1091264.00,1193341.00,1097080.00,686313.00,1126393.00
Diluted Weighted Average Shares,1757.15,1750.95,1750.90,1749.23,1746.62
Diluted EPS Excluding ExtraOrd Items,621.04,681.54,626.58,392.35,644.90
DPS - Common Stock Primary Issue,139.56,278.95,290.10,90.85,255.10
Diluted Normalised EPS,609.11,676.84,647.26,384.34,634.52
