Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Aug 2016,31 Aug 2017,31 Aug 2018,31 Aug 2019,31 Aug 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,12.42,8.70,5.20,2.99,3.07
Short Term Investments,0.14,0.13,0.15,0.15,0.15
Cash and Short Term Investments,12.56,8.83,5.34,3.14,3.22
"Accounts Receivable - Trade, Net",14.07,18.37,16.60,13.87,11.01
"Total Receivables, Net",14.07,18.37,16.60,13.87,11.01
Prepaid Expenses,0.10,0.20,0.18,0.19,0.17
"Other Current Assets, Total",0,3.57,3.60,0.00,0.61
Total Current Assets,31.92,36.42,30.96,23.97,21.03
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",37.91,36.48,32.05,34.54,31.11
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.01,0.02,0.04,0.04
Long Term Investments,7.50,6.58,27.41,25.57,6.76
Total Assets,77.66,79.62,90.59,84.23,58.98
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.03,0.11,0.17,0.11,0.03
Total Current Liabilities,14.75,16.51,19.98,17.38,13.62
Total Long Term Debt,5.01,2.67,3.87,2.17,3.33
Total Debt,11.25,10.01,10.02,8.34,8.34
Deferred Income Tax,0.43,0.23,0.27,0.33,0.35
"Other Liabilities, Total",1.29,0.80,0.63,0.83,1.38
Total Liabilities,23.98,22.56,26.76,22.60,20.61
"Common Stock, Total",39.31,42.26,49.08,49.08,49.08
Retained Earnings (Accumulated Deficit),24.41,24.78,24.06,21.94,-1.43
Treasury Stock - Common,0,-0.20,-0.20,-0.25,-0.25
Unrealised Gain (Loss),0.65,0.65,0.67,0.67,0.67
"Other Equity, Total",-10.69,-10.44,-9.78,-9.80,-9.70
Total Equity,53.68,57.06,63.83,61.63,38.37
Total Liabilities & Shareholders' Equity,77.66,79.62,90.59,84.23,58.98
Total Common Shares Outstanding,452.67,494.03,607.60,607.60,607.60
"Tangible Book Value per Share, Common Eq",0.12,0.12,0.11,0.10,0.06
