Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,3.76,4.73,5.18,6.48,8.62
Short Term Investments,22.53,19.04,27.50,28.02,29.64
Cash and Short Term Investments,26.29,23.76,32.68,34.49,38.26
"Accounts Receivable - Trade, Net",7.21,8.92,4.98,6.62,4.63
"Total Receivables, Net",7.64,9.26,5.33,6.99,5.17
Prepaid Expenses,0,0,0,0.04,0.04
"Other Current Assets, Total",0.00,0,0,0.00,0.00
Total Current Assets,37.00,36.89,41.40,44.56,45.47
"Property/Plant/Equipment, Total - Gross",0,0,0,43.80,45.97
"Accumulated Depreciation, Total",0,0,0,-31.73,-33.03
"Property/Plant/Equipment, Total - Net",12.70,13.48,12.66,12.07,12.94
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0.26
Long Term Investments,0,2.04,0.51,0.00,0.50
Total Assets,52.71,58.40,54.57,56.63,59.16
Accounts Payable,2.59,4.91,1.91,2.95,1.65
Accrued Expenses,0,0,0,1.91,2.06
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.84,2.94,3.13,1.22,1.78
Total Current Liabilities,6.06,8.29,5.07,6.12,5.75
Total Long Term Debt,0.40,0.11,0.08,0.04,1.26
Total Debt,1.03,0.55,0.11,0.08,1.52
Deferred Income Tax,0.93,1.07,0.93,0.93,0.93
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,7.39,9.47,6.07,7.09,7.93
"Common Stock, Total",31.73,31.73,31.73,31.73,31.73
Retained Earnings (Accumulated Deficit),14.57,18.18,17.74,18.79,20.47
Treasury Stock - Common,-0.98,-0.98,-0.97,-0.97,-0.97
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,45.32,48.93,48.50,49.54,51.23
Total Liabilities & Shareholders' Equity,52.71,58.40,54.57,56.63,59.16
Total Common Shares Outstanding,171.00,171.00,171.05,171.05,171.05
"Tangible Book Value per Share, Common Eq",0.27,0.29,0.28,0.29,0.30
