Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.85,8.02,5.70,5.72,6.95
Depreciation/Depletion,1.03,1.10,1.21,1.27,1.38
Non-Cash Items,-0.36,-0.56,-0.06,0.19,-0.24
Cash Taxes Paid,0.21,0.71,0.52,1.01,0.81
Changes in Working Capital,-0.56,-0.40,0.68,-1.10,1.66
Cash from Operating Activities,7.95,8.17,7.53,6.09,9.75
Capital Expenditures,-1.02,-1.70,-0.40,-0.77,-0.81
"Other Investing Cash Flow Items, Total",-7.37,-1.37,2.27,-3.02,-3.61
Cash from Investing Activities,-8.39,-3.07,1.88,-3.80,-4.42
Total Cash Dividends Paid,-4.80,-3.42,-5.30,-3.59,-4.28
"Issuance (Retirement) of Stock, Net",-0.08,0.00,0.01,0.00,0
Cash from Financing Activities,-5.46,-4.08,-5.74,-3.63,-4.53
Foreign Exchange Effects,-0.04,0.01,-0.00,-0.01,-0.01
Net Change in Cash,-5.93,1.03,3.67,-1.34,0.79
