Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,38.35,40.58,43.88,43.19,31.11
Total Revenue,38.35,40.58,43.88,43.19,31.11
"Selling/General/Admin. Expenses, Total",13.55,14.39,14.84,14.26,12.15
Depreciation/Amortisation,1.60,1.56,1.62,9.31,7.90
Unusual Expense (Income),0.08,0.00,0.03,0.26,0.81
"Other Operating Expenses, Total",13.99,14.43,15.78,9.21,8.21
Total Operating Expense,37.96,39.01,41.75,42.72,36.18
Operating Income,0.40,1.57,2.13,0.47,-5.08
"Interest Inc.(Exp.),Net-Non-Op., Total",0.03,0.03,0.04,-0.46,-0.35
"Other, Net",0.63,0.55,0.41,0.95,6.21
Net Income Before Taxes,1.06,2.15,2.58,0.96,0.79
Provision for Income Taxes,0.06,0.20,0.39,0.20,-0.08
Net Income After Taxes,1.00,1.95,2.19,0.76,0.87
Net Income Before Extra. Items,1.00,1.95,2.19,0.76,0.87
Net Income,1.00,1.95,2.19,0.76,0.87
Income Available to Com Excl ExtraOrd,1.00,1.95,2.19,0.76,0.87
Income Available to Com Incl ExtraOrd,1.00,1.95,2.19,0.76,0.87
Diluted Net Income,1.00,1.95,2.19,0.76,0.87
Diluted Weighted Average Shares,281.92,280.11,280.10,279.47,279.95
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,0.01,0.00,0.00
DPS - Common Stock Primary Issue,0.00,0.01,0.01,0.00,0.00
Diluted Normalised EPS,0.00,0.01,0.01,0.00,0.01
