Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.06,2.15,2.58,0.96,0.79
Depreciation/Depletion,1.54,1.53,1.57,9.26,7.84
Non-Cash Items,0.15,-0.01,0.11,0.74,-1.44
Cash Taxes Paid,0.10,0.07,0.22,0.10,0.41
Changes in Working Capital,-0.13,-0.90,0.12,-1.19,-0.03
Cash from Operating Activities,2.68,2.80,4.44,9.82,7.22
Capital Expenditures,-1.15,-1.60,-1.02,-1.66,-0.12
"Other Investing Cash Flow Items, Total",0.00,0.01,0.00,0.00,0.00
Cash from Investing Activities,-1.14,-1.59,-1.02,-1.66,-0.12
Total Cash Dividends Paid,-1.62,-0.70,-1.40,-1.82,-0.56
"Issuance (Retirement) of Stock, Net",-0.61,0.00,-0.11,-0.12,0.00
Cash from Financing Activities,-2.23,-0.71,-1.51,-9.91,-5.29
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.70,0.51,1.91,-1.75,1.81
