Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,300.22,968.20,147.19,284.73,212.64
Depreciation/Depletion,3.01,4.16,4.36,4.66,13.89
Non-Cash Items,-9.68,-787.68,32.16,15.45,22.99
Cash Taxes Paid,30.05,24.97,19.99,40.22,65.85
Changes in Working Capital,-97.86,32.10,-55.74,1.04,-60.49
Cash from Operating Activities,209.13,232.54,144.90,325.18,209.78
Capital Expenditures,-3.37,-13.68,-24.14,-34.16,-37.22
"Other Investing Cash Flow Items, Total",-56.30,207.17,315.80,-52.35,0.47
Cash from Investing Activities,-59.67,193.49,291.66,-86.50,-36.75
Total Cash Dividends Paid,-257.51,-236.98,-386.52,-152.41,-104.81
"Issuance (Retirement) of Stock, Net",-69.62,-17.47,-108.92,-17.86,-56.82
Cash from Financing Activities,-252.14,-242.98,-564.06,-133.19,-113.62
Foreign Exchange Effects,11.83,20.42,-10.94,9.86,8.18
Net Change in Cash,-90.86,203.47,-138.44,115.34,67.59
