Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,169.13,126.77,0,0,0
Short Term Investments,65.29,888.21,194.34,180.98,339.81
Cash and Short Term Investments,234.43,1014.98,498.38,622.98,836.56
"Accounts Receivable - Trade, Net",193.35,172.06,187.81,183.53,188.16
"Total Receivables, Net",257.96,207.65,245.51,208.65,206.07
Prepaid Expenses,6.67,8.41,6.42,4.35,2.90
"Other Current Assets, Total",2.93,3.34,3.76,4.96,3.93
Total Current Assets,501.98,1234.39,754.08,841.89,1050.54
"Property/Plant/Equipment, Total - Gross",27.82,31.04,34.04,26.25,85.02
"Accumulated Depreciation, Total",-11.04,-11.67,-13.62,-11.37,-42.66
"Property/Plant/Equipment, Total - Net",16.78,19.38,20.42,14.88,42.36
"Goodwill, Net",108.20,110.58,107.93,136.91,143.94
"Intangibles, Net",97.84,97.53,98.79,144.59,156.09
Long Term Investments,137.99,30.18,9.67,17.99,9.34
Total Assets,868.58,1497.92,1007.26,1182.36,1468.22
Accounts Payable,6.01,6.89,3.59,10.99,9.07
Accrued Expenses,12.76,7.59,17.47,15.72,15.23
Notes Payable/Short Term Debt,72.24,88.34,23.99,9.94,0.00
"Other Current liabilities, Total",117.15,138.56,159.74,181.47,467.05
Total Current Liabilities,221.46,255.63,208.67,222.29,503.78
Total Long Term Debt,1.56,1.75,2.93,63.10,141.26
Total Debt,74.71,91.04,28.29,74.41,150.92
Deferred Income Tax,18.54,40.48,31.83,33.24,61.40
"Other Liabilities, Total",7.79,7.73,240.65,271.39,15.11
Total Liabilities,249.44,305.66,484.15,590.08,721.62
"Common Stock, Total",191.04,191.04,191.04,191.04,191.04
Retained Earnings (Accumulated Deficit),248.90,793.66,154.66,354.19,433.70
Treasury Stock - Common,-75.44,-86.63,-68.56,-81.73,-138.54
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",25.62,61.97,11.55,-108.06,23.58
Total Equity,619.14,1192.26,523.11,592.27,746.61
Total Liabilities & Shareholders' Equity,868.58,1497.92,1007.26,1182.36,1468.22
Total Common Shares Outstanding,2653.57,2646.62,2656.04,2645.05,2589.36
"Tangible Book Value per Share, Common Eq",0.16,0.37,0.12,0.12,0.17
