Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,636.28,549.85,541.77,680.81,663.69
Total Revenue,636.28,549.85,541.77,680.81,663.69
"Selling/General/Admin. Expenses, Total",106.19,142.66,147.91,170.46,172.57
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-5.86,-794.06,-0.24,-26.55,-2.23
"Other Operating Expenses, Total",1.73,-1.92,-3.79,-16.23,-19.00
Total Operating Expense,336.80,-427.49,377.36,367.34,417.76
Operating Income,299.48,977.35,164.40,313.46,245.93
"Interest Inc.(Exp.),Net-Non-Op., Total",0.74,-9.15,-17.21,-3.19,-2.27
"Other, Net",0,0,0,-25.55,-31.03
Net Income Before Taxes,300.22,968.20,147.19,284.73,212.64
Provision for Income Taxes,26.36,104.46,13.11,39.16,27.97
Net Income After Taxes,273.86,863.74,134.08,245.57,184.67
Net Income Before Extra. Items,273.85,863.73,134.09,245.58,184.68
Net Income,273.85,863.73,134.09,245.58,184.68
Income Available to Com Excl ExtraOrd,273.85,863.73,134.09,245.58,184.68
Income Available to Com Incl ExtraOrd,273.85,863.73,134.09,245.58,184.68
Diluted Net Income,273.85,863.73,134.09,245.58,184.68
Diluted Weighted Average Shares,2657.55,2648.03,2637.79,2648.41,2623.80
Diluted EPS Excluding ExtraOrd Items,0.10,0.33,0.05,0.09,0.07
DPS - Common Stock Primary Issue,0.09,0.07,0.04,0.05,0.03
Diluted Normalised EPS,0.10,0.06,0.05,0.09,0.07
