Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,7 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,179.96,183.88,179.02,114.95,78.16
Total Revenue,179.96,183.88,179.02,114.95,78.16
"Selling/General/Admin. Expenses, Total",41.54,42.41,42.48,24.74,13.23
Depreciation/Amortisation,18.68,19.10,19.55,13.69,25.58
Unusual Expense (Income),0,0,0,0,66.98
"Other Operating Expenses, Total",23.19,23.61,23.10,16.56,61.50
Total Operating Expense,148.71,152.12,151.99,100.05,169.80
Operating Income,31.25,31.77,27.03,14.90,-91.64
"Interest Inc.(Exp.),Net-Non-Op., Total",-10.11,-10.11,-10.11,-6.00,-11.66
"Other, Net",-0.23,-0.23,-0.23,0,0
Net Income Before Taxes,20.91,21.42,16.69,8.91,-103.30
Provision for Income Taxes,4.14,4.29,0.61,-1.80,-8.83
Net Income After Taxes,16.78,17.13,16.08,10.70,-94.47
Net Income Before Extra. Items,16.78,17.13,16.08,10.70,-94.47
Net Income,16.78,17.13,16.08,10.70,-94.47
Income Available to Com Excl ExtraOrd,16.78,17.13,16.08,10.70,-94.47
Income Available to Com Incl ExtraOrd,16.78,17.13,16.08,10.70,-94.47
Diluted Net Income,16.78,17.13,16.08,10.70,-94.47
Diluted Weighted Average Shares,565.91,565.91,565.91,566.33,567.29
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.03,0.02,-0.17
DPS - Common Stock Primary Issue,0,0,0,0.04,0.00
Diluted Normalised EPS,0.03,0.03,0.03,0.02,-0.09
