Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,118.74,41.79,49.15,50.17,54.24
Total Revenue,118.74,41.79,49.15,50.17,54.24
"Selling/General/Admin. Expenses, Total",29.99,8.27,14.43,10.78,11.27
Depreciation/Amortisation,0.76,0.98,0,0,0
Unusual Expense (Income),0.17,0.47,-0.03,-0.10,11.32
"Other Operating Expenses, Total",-2.52,-0.37,2.09,0.09,-0.42
Total Operating Expense,108.74,40.89,53.94,47.93,51.21
Operating Income,10.00,0.90,-4.79,2.24,3.03
"Interest Inc.(Exp.),Net-Non-Op., Total",0.97,0.28,0.47,-1.91,-0.02
"Other, Net",0,0,0,0,0
Net Income Before Taxes,10.97,1.18,-4.32,0.33,3.01
Provision for Income Taxes,1.37,1.02,0.50,0.85,0.86
Net Income After Taxes,9.60,0.17,-4.83,-0.51,2.16
Net Income Before Extra. Items,9.60,0.17,-4.83,-0.52,-0.69
Net Income,9.60,8.50,16.98,-0.52,-0.69
Income Available to Com Excl ExtraOrd,9.60,0.17,-4.83,-0.52,-0.69
Income Available to Com Incl ExtraOrd,9.60,8.50,16.98,-0.52,-0.69
Diluted Net Income,9.60,8.50,16.98,-0.52,-0.69
Diluted Weighted Average Shares,167.21,167.13,167.13,167.13,167.02
Diluted EPS Excluding ExtraOrd Items,0.06,0.00,-0.03,-0.00,-0.00
DPS - Common Stock Primary Issue,0.02,0.03,0.04,0.02,0.01
Diluted Normalised EPS,0.06,0.00,-0.03,-0.00,0.04
