Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,329.71,307.25,360.93,365.92,286.96
Total Revenue,329.71,307.25,360.93,365.92,286.96
"Selling/General/Admin. Expenses, Total",64.42,59.26,62.00,58.40,61.58
Depreciation/Amortisation,2.52,2.34,2.79,9.56,9.06
Unusual Expense (Income),-0.14,0.01,0.06,0.12,9.74
"Other Operating Expenses, Total",2.28,4.08,6.81,6.07,-8.90
Total Operating Expense,315.36,297.09,349.83,363.75,296.15
Operating Income,14.35,10.17,11.10,2.17,-9.19
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,14.35,10.17,11.10,2.17,-9.19
Provision for Income Taxes,2.59,1.00,3.74,1.70,0.72
Net Income After Taxes,11.76,9.17,7.36,0.48,-9.91
Net Income Before Extra. Items,11.90,9.74,8.15,0.52,-11.12
Net Income,11.90,9.74,8.15,0.52,-11.12
Income Available to Com Excl ExtraOrd,11.90,9.74,8.15,0.52,-11.12
Income Available to Com Incl ExtraOrd,11.90,9.74,8.15,0.52,-11.12
Diluted Net Income,11.90,9.74,8.15,0.52,-11.12
Diluted Weighted Average Shares,197.66,198.78,199.41,201.53,201.95
Diluted EPS Excluding ExtraOrd Items,0.06,0.05,0.04,0.00,-0.06
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.01,0.00
Diluted Normalised EPS,0.06,0.05,0.04,0.00,-0.02
