Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,14.35,10.17,11.10,2.17,-9.19
Depreciation/Depletion,3.56,3.14,3.23,7.88,8.37
Non-Cash Items,2.24,1.59,1.56,2.08,19.74
Cash Taxes Paid,4.94,2.79,2.19,3.48,2.90
Changes in Working Capital,-5.10,-1.22,-7.21,-4.06,0.60
Cash from Operating Activities,15.13,13.77,8.87,8.34,19.73
Capital Expenditures,-3.54,-13.41,-18.46,-11.80,-2.82
"Other Investing Cash Flow Items, Total",0.79,1.37,-0.10,0.36,0.16
Cash from Investing Activities,-2.76,-12.05,-18.56,-11.44,-2.66
Total Cash Dividends Paid,-5.94,-4.98,-4.99,-5.05,0.00
"Issuance (Retirement) of Stock, Net",-0.14,0,0,0,0
Cash from Financing Activities,-8.05,-3.42,16.81,-10.08,-2.44
Foreign Exchange Effects,-0.47,-1.78,-0.69,-0.75,0.45
Net Change in Cash,3.86,-3.48,6.44,-13.92,15.09
