Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,884.24,754.11,642.90,930.84,530.46
Total Revenue,884.24,754.11,642.90,930.84,530.46
"Selling/General/Admin. Expenses, Total",99.30,114.64,121.76,160.68,88.10
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,-5.37,26.97,-127.31,105.31
"Other Operating Expenses, Total",12.31,58.77,17.82,13.82,18.89
Total Operating Expense,676.03,651.44,527.65,643.91,508.39
Operating Income,208.21,102.68,115.25,286.93,22.06
"Interest Inc.(Exp.),Net-Non-Op., Total",-58.44,66.00,-13.18,2.39,-471.15
"Other, Net",62.79,20.69,1.58,4.94,3.81
Net Income Before Taxes,212.55,189.37,103.64,369.70,-445.27
Provision for Income Taxes,35.46,32.49,47.02,47.90,-40.49
Net Income After Taxes,177.09,156.88,56.63,321.80,-404.78
Net Income Before Extra. Items,144.37,94.56,10.02,255.22,-343.38
Net Income,144.37,94.56,10.02,255.22,-343.38
Income Available to Com Excl ExtraOrd,144.37,94.56,10.02,255.22,-343.38
Income Available to Com Incl ExtraOrd,144.37,94.56,10.02,255.22,-343.38
Diluted Net Income,144.37,94.56,1.89,260.18,-343.38
Diluted Weighted Average Shares,902.79,901.82,954.45,981.49,899.32
Diluted EPS Excluding ExtraOrd Items,0.16,0.10,0.00,0.27,-0.38
DPS - Common Stock Primary Issue,0.03,0.03,0.02,0.02,0.01
Diluted Normalised EPS,0.16,0.10,0.02,0.08,-0.30
