Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,46.94,38.64,26.56,30.18,30.85
Total Revenue,46.94,38.64,26.56,30.18,30.85
"Selling/General/Admin. Expenses, Total",7.25,5.72,6.35,6.32,6.32
Depreciation/Amortisation,0,9.47,0,0,0
Unusual Expense (Income),-6.15,0.00,0,0,0
"Other Operating Expenses, Total",9.51,245.50,-177.37,-2.36,4.26
Total Operating Expense,49.54,289.44,-149.73,28.46,37.00
Operating Income,-2.60,-250.80,176.29,1.72,-6.15
"Interest Inc.(Exp.),Net-Non-Op., Total",-15.54,-61.49,-8.25,-5.38,-2.85
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-18.13,-312.29,168.04,-3.66,-9.01
Provision for Income Taxes,-1.20,0.40,-0.94,0.20,0.21
Net Income After Taxes,-16.94,-312.69,168.98,-3.87,-9.22
Net Income Before Extra. Items,-16.94,-312.69,168.98,-3.87,-9.22
Net Income,-16.94,-312.69,168.98,-3.87,-9.22
Income Available to Com Excl ExtraOrd,-16.94,-312.69,168.98,-3.87,-9.22
Income Available to Com Incl ExtraOrd,-16.94,-312.69,168.98,-3.87,-9.22
Diluted Net Income,-16.94,-312.69,168.98,-3.87,-9.22
Diluted Weighted Average Shares,338.46,336.55,2508.43,3520.33,3521.78
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.93,0.07,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.06,-0.65,0.07,-0.00,-0.00
