Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-18.13,-312.29,168.04,-3.66,-9.01
Depreciation/Depletion,11.45,16.51,7.30,7.43,7.32
Non-Cash Items,16.39,298.96,-175.13,-1.12,2.92
Cash Taxes Paid,4.18,1.21,0.29,0.27,0.38
Changes in Working Capital,5.56,-2.35,-4.38,-7.97,2.83
Cash from Operating Activities,15.27,0.82,-4.17,-5.32,4.06
Capital Expenditures,-42.21,-0.01,-1.42,-4.27,-6.97
"Other Investing Cash Flow Items, Total",3.36,0.00,4.81,5.05,2.59
Cash from Investing Activities,-38.85,-0.01,3.39,0.78,-4.38
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,60.01,0.00,0.08
Cash from Financing Activities,21.60,-7.32,17.15,0.12,0.40
Foreign Exchange Effects,0.26,-0.05,-0.07,0.04,-0.06
Net Change in Cash,-1.73,-6.56,16.30,-4.38,0.02
