Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,4.78,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,11.82,4.78,17.95,13.57,13.59
"Accounts Receivable - Trade, Net",65.50,7.64,4.38,12.39,7.95
"Total Receivables, Net",100.02,8.57,6.28,16.03,10.91
Prepaid Expenses,1.27,0.85,0,0,0
"Other Current Assets, Total",4.63,1.31,0,0,0
Total Current Assets,129.85,30.60,25.66,30.92,25.40
"Property/Plant/Equipment, Total - Gross",290.87,282.88,0,0,0
"Accumulated Depreciation, Total",-52.69,-202.11,0,0,0
"Property/Plant/Equipment, Total - Net",238.18,80.77,87.61,75.36,75.59
"Goodwill, Net",0.00,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,80.69,18.83,11.49,18.03,12.33
Total Assets,448.72,130.20,124.76,124.32,113.32
Accounts Payable,10.56,10.29,4.51,6.61,3.44
Accrued Expenses,13.17,18.75,0,0,0
Notes Payable/Short Term Debt,1.98,2.00,0.00,0.00,0
"Other Current liabilities, Total",13.33,4.98,5.26,5.54,6.45
Total Current Liabilities,155.83,281.85,9.82,12.17,10.17
Total Long Term Debt,133.03,0.04,0.10,0.09,0.34
Total Debt,251.81,247.87,0.15,0.10,0.62
Deferred Income Tax,1.04,0.96,0,0,0
"Other Liabilities, Total",0,0,1.62,3.22,3.12
Total Liabilities,289.90,282.84,11.55,15.47,13.64
"Common Stock, Total",59.24,59.24,155.67,155.67,155.75
Retained Earnings (Accumulated Deficit),100.26,-212.13,-43.15,-46.89,-56.06
Treasury Stock - Common,-1.20,-1.20,-1.20,-1.20,-1.20
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.53,1.45,1.89,1.27,1.19
Total Equity,158.82,-152.64,113.21,108.85,99.68
Total Liabilities & Shareholders' Equity,448.72,130.20,124.76,124.32,113.32
Total Common Shares Outstanding,336.55,336.55,3520.33,3520.33,3522.62
"Tangible Book Value per Share, Common Eq",0.47,-0.45,0.03,0.03,0.03
