Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,50.91,65.26,67.28,70.94,56.39
Total Revenue,50.91,65.26,67.28,70.94,56.39
"Selling/General/Admin. Expenses, Total",11.36,15.54,16.20,15.54,15.33
Depreciation/Amortisation,0.61,1.16,1.24,2.16,2.21
Unusual Expense (Income),0.92,-0.02,-0.02,-0.02,-9.48
"Other Operating Expenses, Total",-2.73,-1.30,-1.65,-1.41,-0.38
Total Operating Expense,47.50,61.78,65.77,70.14,51.20
Operating Income,3.41,3.48,1.51,0.80,5.19
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.11,-0.10,0.00,-0.24,-0.24
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.30,3.38,1.52,0.56,4.95
Provision for Income Taxes,0.50,0.26,0.12,0.13,-0.04
Net Income After Taxes,2.80,3.11,1.40,0.44,4.99
Net Income Before Extra. Items,2.68,3.06,1.34,0.47,4.53
Net Income,2.68,3.06,1.34,0.47,4.53
Income Available to Com Excl ExtraOrd,2.68,3.06,1.34,0.47,4.53
Income Available to Com Incl ExtraOrd,2.68,3.06,1.34,0.47,4.53
Diluted Net Income,2.68,3.06,1.34,0.47,4.53
Diluted Weighted Average Shares,173.17,180.98,208.03,251.35,251.35
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,0.00,0.02
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.01,0
Diluted Normalised EPS,0.02,0.02,0.01,0.00,-0.01
