Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.30,3.38,1.52,0.56,4.95
Depreciation/Depletion,0.37,0.56,0.62,1.81,2.21
Non-Cash Items,0.63,0.18,0.50,0.05,-0.07
Cash Taxes Paid,0.58,0.35,0.44,0.27,0.17
Changes in Working Capital,-0.21,-1.80,-0.95,-0.29,-0.52
Cash from Operating Activities,4.33,2.91,2.30,2.72,6.85
Capital Expenditures,-0.48,-0.89,-0.76,-0.79,-0.79
"Other Investing Cash Flow Items, Total",-4.74,-5.12,-3.15,-0.32,-0.53
Cash from Investing Activities,-5.23,-6.00,-3.92,-1.11,-1.33
Total Cash Dividends Paid,-2.61,-1.65,-0.77,-0.38,-1.48
"Issuance (Retirement) of Stock, Net",9.46,5.00,21.93,0.00,-0.01
Cash from Financing Activities,4.60,2.88,19.59,-1.97,-3.56
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,3.70,-0.21,17.97,-0.36,1.97
