Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.24,-31.35,-40.38,-25.32,-0.25
Depreciation/Depletion,9.15,8.59,7.95,4.96,2.41
Non-Cash Items,10.12,40.44,43.79,27.98,5.77
Cash Taxes Paid,0.01,0.00,1.08,0.93,1.05
Changes in Working Capital,-8.00,-10.62,-1.97,-3.79,0.20
Cash from Operating Activities,12.51,7.07,9.48,3.84,8.13
Capital Expenditures,-7.46,-20.39,-1.42,-0.21,-0.13
"Other Investing Cash Flow Items, Total",-5.69,-11.68,0.18,0.23,7.00
Cash from Investing Activities,-13.16,-32.07,-1.24,0.02,6.88
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",2.63,0.17,0,0,0
Cash from Financing Activities,-3.34,23.58,-7.98,-4.12,-15.50
Foreign Exchange Effects,-0.01,0.28,-0.58,0.01,0.00
Net Change in Cash,-4.00,-1.14,-0.32,-0.25,-0.49
