Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,4.11,2.97,5.86,5.25,3.32
"Accounts Receivable - Trade, Net",6.42,12.64,9.35,13.41,18.54
"Total Receivables, Net",7.40,14.41,9.35,13.41,18.54
Prepaid Expenses,0.33,0,0,0,0
"Other Current Assets, Total",0,0,4.47,6.43,7.19
Total Current Assets,11.85,17.38,20.13,25.65,29.59
"Property/Plant/Equipment, Total - Gross",150.07,0,0,0,0
"Accumulated Depreciation, Total",-26.88,0,0,0,0
"Property/Plant/Equipment, Total - Net",123.19,104.97,70.31,44.57,42.65
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.31,1.31,3.61,0.00,0
Long Term Investments,8.06,6.25,5.71,4.95,0.00
Total Assets,153.07,147.86,107.57,82.73,73.68
Accounts Payable,1.31,0,0,0,0
Accrued Expenses,1.29,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.82,1.76,0.47,0.37,0.51
Total Current Liabilities,19.08,52.19,59.03,84.65,75.48
Total Long Term Debt,39.80,19.13,16.22,16.44,17.59
Total Debt,53.46,63.65,60.34,61.72,48.66
Deferred Income Tax,0,0,1.24,1.29,2.49
"Other Liabilities, Total",9.06,21.57,22.49,0.15,0.19
Total Liabilities,69.88,94.91,101.21,103.24,96.87
"Common Stock, Total",272.37,272.67,272.67,274.55,274.55
Retained Earnings (Accumulated Deficit),-202.19,-234.15,-276.89,-302.42,-311.59
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0.00,-0.96,-3.96,0
"Other Equity, Total",5.97,7.38,4.50,4.29,6.81
Total Equity,83.19,52.95,6.37,-20.51,-23.19
Total Liabilities & Shareholders' Equity,153.07,147.86,107.57,82.73,73.68
Total Common Shares Outstanding,13050.96,13166.39,13166.39,13656.70,13656.70
"Tangible Book Value per Share, Common Eq",0.01,0.00,-0.00,-0.00,-0.00
