Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,38.21,28.98,28.92,27.05,0
Short Term Investments,71.97,58.73,0.80,18.45,0
Cash and Short Term Investments,110.17,87.71,29.72,45.49,44.32
"Accounts Receivable - Trade, Net",4.13,1.76,22.39,19.93,20.63
"Total Receivables, Net",5.25,2.73,30.08,29.16,26.41
Prepaid Expenses,0.50,0.11,0.67,0.40,0.47
"Other Current Assets, Total",0.12,0.06,0.17,0.33,1.75
Total Current Assets,202.51,91.25,61.81,78.02,75.32
"Property/Plant/Equipment, Total - Gross",39.38,140.12,268.81,269.71,0
"Accumulated Depreciation, Total",-22.92,-26.71,-38.47,-54.48,0
"Property/Plant/Equipment, Total - Net",16.46,113.41,230.34,215.22,184.63
"Goodwill, Net",0.00,0.00,0.00,0,0
"Intangibles, Net",2.05,1.81,1.55,1.29,1.03
Long Term Investments,3.32,2.39,7.47,2.17,2.51
Total Assets,224.59,208.87,304.58,296.71,263.50
Accounts Payable,4.83,4.32,7.28,8.06,10.87
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.64,2.00,3.13,10.04,1.42
Total Current Liabilities,8.47,6.32,18.86,27.61,22.30
Total Long Term Debt,0.00,0.00,4.07,6.55,7.55
Total Debt,0.00,0.00,12.51,16.07,17.56
Deferred Income Tax,0.46,0.04,5.55,5.52,4.42
"Other Liabilities, Total",0,0,0,1.55,1.55
Total Liabilities,8.92,6.36,83.75,87.38,69.45
"Common Stock, Total",108.79,108.79,108.79,108.79,108.79
Retained Earnings (Accumulated Deficit),106.95,93.73,111.35,100.95,85.27
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),-0.07,-0.00,0.76,0.56,0
"Other Equity, Total",0,0,-0.07,-0.96,0
Total Equity,215.67,202.51,220.83,209.33,194.05
Total Liabilities & Shareholders' Equity,224.59,208.87,304.58,296.71,263.50
Total Common Shares Outstanding,202.88,202.88,202.88,202.88,202.88
"Tangible Book Value per Share, Common Eq",1.05,0.99,1.08,1.03,0.95
