Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,21.52,5.00,32.70,64.48,63.16
Total Revenue,21.52,5.00,32.70,64.48,63.16
"Selling/General/Admin. Expenses, Total",10.95,10.60,17.26,28.05,20.13
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),7.55,0,0,0.42,15.55
"Other Operating Expenses, Total",-1.76,-0.07,-24.81,-0.09,-2.94
Total Operating Expense,30.74,16.29,14.94,75.52,88.28
Operating Income,-9.22,-11.28,17.76,-11.04,-25.12
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0.00,-3.31,-5.88,-0.79
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-9.22,-11.28,14.45,-16.92,-25.91
Provision for Income Taxes,-0.90,-0.59,0.14,1.02,0.03
Net Income After Taxes,-8.33,-10.69,14.32,-17.94,-25.93
Net Income Before Extra. Items,-8.33,-10.69,17.62,-9.39,-13.80
Net Income,-8.33,-10.69,17.62,-9.39,-13.80
Income Available to Com Excl ExtraOrd,-8.33,-10.69,17.62,-9.39,-13.80
Income Available to Com Incl ExtraOrd,-8.33,-10.69,17.62,-9.39,-13.80
Diluted Net Income,-8.33,-10.69,17.62,-9.39,-13.80
Diluted Weighted Average Shares,202.88,202.88,202.88,202.88,202.88
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.05,0.09,-0.05,-0.07
DPS - Common Stock Primary Issue,0.01,0.00,0.01,0.01,0.00
Diluted Normalised EPS,-0.02,-0.05,0.09,-0.04,-0.02
