Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 May 2017,31 May 2018,31 May 2019,31 May 2020,31 May 2021
Source,ARS,ARS,ARS,ARS,PRESS
Cash,25.38,51.10,36.29,31.39,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,26.28,51.10,36.29,39.41,40.23
"Accounts Receivable - Trade, Net",39.24,98.61,48.88,37.07,22.63
"Total Receivables, Net",126.86,218.29,171.13,167.60,165.66
Prepaid Expenses,0.00,0.02,0.19,0.20,0.20
"Other Current Assets, Total",0.05,6.20,0.11,0.04,0
Total Current Assets,219.31,351.38,313.19,286.60,386.98
"Property/Plant/Equipment, Total - Gross",0.01,0.33,0.67,1.04,0
"Accumulated Depreciation, Total",-0.01,-0.03,-0.14,-0.46,0
"Property/Plant/Equipment, Total - Net",0.00,0.29,0.53,0.58,0.32
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,68.92,16.97,7.26,12.67,24.33
Total Assets,288.24,368.64,320.98,300.51,412.40
Accounts Payable,0.20,0.18,0.42,0.72,0
Accrued Expenses,2.48,5.27,2.95,2.96,6.88
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",110.04,39.44,24.48,22.20,23.32
Total Current Liabilities,124.85,129.05,37.39,31.98,102.89
Total Long Term Debt,96.72,35.49,78.36,58.52,90.07
Total Debt,106.72,117.63,87.85,64.63,158.07
Deferred Income Tax,0.62,4.31,3.75,3.24,1.51
"Other Liabilities, Total",0.00,33.78,43.16,46.12,46.27
Total Liabilities,224.93,214.32,172.24,142.29,240.17
"Common Stock, Total",33.65,146.22,146.22,146.22,146.22
Retained Earnings (Accumulated Deficit),29.73,7.98,2.95,12.85,26.21
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,-0.36,-0.20
"Other Equity, Total",-0.07,0.12,-0.43,-0.49,0.01
Total Equity,63.31,154.32,148.74,158.22,172.24
Total Liabilities & Shareholders' Equity,288.24,368.64,320.98,300.51,412.40
Total Common Shares Outstanding,913.00,913.00,913.00,913.00,913.00
"Tangible Book Value per Share, Common Eq",0.07,0.17,0.16,0.17,0.19
