Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 May 2017,31 May 2018,31 May 2019,31 May 2020,31 May 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,PRESS
Revenue,87.63,154.44,47.65,46.17,42.39
Total Revenue,87.63,154.44,47.65,46.17,42.39
"Selling/General/Admin. Expenses, Total",2.12,9.06,6.80,5.48,5.59
Depreciation/Amortisation,0.01,0.02,0.13,0.32,0
Unusual Expense (Income),0.93,-7.04,-0.04,-0.64,0
"Other Operating Expenses, Total",-0.11,-0.12,0.24,-1.08,-5.15
Total Operating Expense,75.38,125.28,39.71,27.88,32.01
Operating Income,12.25,29.17,7.94,18.28,10.38
"Interest Inc.(Exp.),Net-Non-Op., Total",7.40,-0.94,-10.10,-6.38,3.89
"Other, Net",0,0,0,0,0
Net Income Before Taxes,19.65,28.23,-2.17,11.90,14.27
Provision for Income Taxes,0.36,3.66,1.46,1.97,2.46
Net Income After Taxes,19.28,24.57,-3.62,9.93,11.82
Net Income Before Extra. Items,15.85,15.62,-5.03,10.82,13.36
Net Income,15.85,15.62,-5.03,10.82,13.36
Income Available to Com Excl ExtraOrd,15.85,15.62,-5.03,10.82,13.36
Income Available to Com Incl ExtraOrd,15.85,15.62,-5.03,10.82,13.36
Diluted Net Income,15.85,15.62,-5.03,10.82,13.36
Diluted Weighted Average Shares,913.00,701.73,913.00,913.00,913.00
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,-0.01,0.01,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0.00
Diluted Normalised EPS,0.02,0.02,-0.01,0.01,0.01
