Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,264.86,309.65,332.74,296.03,201.31
Total Revenue,264.86,309.65,332.74,296.03,201.31
"Selling/General/Admin. Expenses, Total",9.71,16.05,15.48,24.95,22.45
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",99.52,1.90,1.36,4.93,3.59
Total Operating Expense,322.99,271.86,314.85,396.83,213.41
Operating Income,-58.13,37.79,17.89,-100.80,-12.10
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.26,2.95,-3.43,-1.78,-1.07
"Other, Net",0,0,-5.05,-5.05,-5.02
Net Income Before Taxes,-60.39,40.74,9.42,-107.62,-18.19
Provision for Income Taxes,6.03,11.76,4.14,6.10,-0.11
Net Income After Taxes,-66.42,28.98,5.28,-113.73,-18.08
Net Income Before Extra. Items,-66.42,28.39,6.17,-105.43,-20.75
Net Income,-66.42,28.39,6.17,-105.43,-20.75
Income Available to Com Excl ExtraOrd,-66.42,28.39,6.17,-105.43,-20.75
Income Available to Com Incl ExtraOrd,-66.42,28.39,6.17,-105.43,-20.75
Diluted Net Income,-66.42,28.39,6.17,-105.43,-20.75
Diluted Weighted Average Shares,1753.21,1869.43,1869.43,1869.43,1869.43
Diluted EPS Excluding ExtraOrd Items,-0.04,0.02,0.00,-0.06,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,0.02,0.00,-0.06,-0.01
