Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,50.31,27.15,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,50.31,27.15,16.42,10.28,19.01
"Accounts Receivable - Trade, Net",135.88,201.10,179.04,94.89,17.81
"Total Receivables, Net",222.42,290.40,281.39,131.78,30.87
Prepaid Expenses,0.34,0.31,0.20,0.25,0.63
"Other Current Assets, Total",0.95,0.28,19.78,13.48,5.41
Total Current Assets,444.59,689.27,833.56,622.92,510.82
"Property/Plant/Equipment, Total - Gross",4.86,5.52,5.77,5.88,6.60
"Accumulated Depreciation, Total",-1.72,-3.02,-4.50,-5.22,-5.74
"Property/Plant/Equipment, Total - Net",3.14,2.50,1.28,0.66,0.85
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0.00,0.00,0
Total Assets,447.73,691.85,840.00,623.58,511.67
Accounts Payable,92.14,301.99,395.04,397.43,350.85
Accrued Expenses,8.93,50.46,68.75,45.15,34.16
Notes Payable/Short Term Debt,15.97,14.49,12.96,25.58,9.93
"Other Current liabilities, Total",9.46,61.75,63.19,45.13,23.13
Total Current Liabilities,166.43,447.92,602.03,513.42,419.62
Total Long Term Debt,87.94,21.12,14.33,0.25,0.23
Total Debt,143.84,54.84,89.39,25.96,11.70
Deferred Income Tax,0.02,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,254.40,470.12,619.00,508.02,416.86
"Common Stock, Total",259.38,259.38,259.38,259.38,259.38
Retained Earnings (Accumulated Deficit),-66.05,-37.66,-38.38,-143.82,-164.57
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,193.33,221.72,221.00,115.57,94.81
Total Liabilities & Shareholders' Equity,447.73,691.85,840.00,623.58,511.67
Total Common Shares Outstanding,1869.43,1869.43,1869.43,1869.43,1869.43
"Tangible Book Value per Share, Common Eq",0.10,0.12,0.12,0.06,0.05
