Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-66.42,28.98,5.28,-113.73,-18.19
Depreciation/Depletion,1.13,1.36,1.48,0.73,0.54
Non-Cash Items,96.62,10.55,14.98,97.52,8.15
Cash Taxes Paid,0.12,2.14,6.75,10.10,4.98
Changes in Working Capital,-144.70,20.17,-70.36,61.98,35.96
Cash from Operating Activities,-113.36,61.06,-48.61,46.50,26.46
Capital Expenditures,-2.84,-0.26,-0.15,-0.12,-0.14
"Other Investing Cash Flow Items, Total",9.42,1.24,2.73,-3.47,-0.08
Cash from Investing Activities,6.58,0.98,2.58,-3.59,-0.22
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",130.62,0.00,0,0,0
Cash from Financing Activities,149.33,-83.71,37.42,-65.83,-2.75
Foreign Exchange Effects,0,0,-0.60,0.16,-0.11
Net Change in Cash,42.54,-21.67,-9.20,-22.76,23.38
