Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,38.00,38.59,34.76,55.38
Short Term Investments,2.88,0.31,3.29,3.24,3.09
Cash and Short Term Investments,38.68,38.30,41.88,38.00,58.47
"Accounts Receivable - Trade, Net",69.43,68.45,73.01,73.79,85.40
"Total Receivables, Net",82.86,83.01,91.03,98.04,97.10
Prepaid Expenses,0,0.47,0.95,0.99,0.99
"Other Current Assets, Total",0.67,0.53,0.91,0.58,0.56
Total Current Assets,163.87,177.63,198.90,202.93,217.02
"Property/Plant/Equipment, Total - Gross",44.61,46.51,59.46,67.47,88.65
"Accumulated Depreciation, Total",-16.93,-19.18,-20.15,-23.51,-27.05
"Property/Plant/Equipment, Total - Net",27.68,27.33,39.31,43.97,61.60
"Goodwill, Net",11.69,11.69,12.23,12.23,12.23
"Intangibles, Net",0,0,0,0,0
Long Term Investments,12.17,18.86,6.63,7.03,7.14
Total Assets,216.85,237.15,288.71,301.76,357.99
Accounts Payable,37.27,35.92,34.39,34.99,39.83
Accrued Expenses,13.60,15.98,20.22,19.95,18.96
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",16.19,18.45,17.06,17.35,46.67
Total Current Liabilities,80.25,84.82,88.17,94.13,129.07
Total Long Term Debt,0.45,0.24,12.07,8.41,10.71
Total Debt,13.65,14.70,28.57,30.25,34.32
Deferred Income Tax,0,0.27,0.66,0.66,0.59
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,95.63,100.53,144.96,149.02,187.97
"Common Stock, Total",62.41,70.98,70.98,78.10,79.21
Retained Earnings (Accumulated Deficit),60.08,66.44,74.82,79.00,92.44
Treasury Stock - Common,0.00,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.27,-0.80,-2.05,-4.35,-1.64
Total Equity,121.22,136.62,143.75,152.75,170.02
Total Liabilities & Shareholders' Equity,216.85,237.15,288.71,301.76,357.99
Total Common Shares Outstanding,354.68,394.69,394.69,429.57,435.34
"Tangible Book Value per Share, Common Eq",0.31,0.32,0.33,0.33,0.36
