Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,346.75,310.15,567.01,913.29,612.38
Total Revenue,346.75,310.15,567.01,913.29,612.38
"Selling/General/Admin. Expenses, Total",11.81,11.09,18.48,18.86,15.62
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,-0.00,-0.48,2.54,-1.29
"Other Operating Expenses, Total",6.80,4.65,7.15,8.34,7.06
Total Operating Expense,336.61,307.12,551.36,874.85,585.39
Operating Income,10.14,3.02,15.65,38.44,26.99
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,10.14,3.02,15.65,38.44,26.99
Provision for Income Taxes,1.80,1.15,3.61,6.87,6.64
Net Income After Taxes,8.34,1.87,12.04,31.56,20.35
Net Income Before Extra. Items,8.34,1.81,12.04,31.56,20.35
Net Income,8.34,2.12,11.75,31.56,20.35
Income Available to Com Excl ExtraOrd,8.34,1.81,12.04,31.56,20.35
Income Available to Com Incl ExtraOrd,8.34,2.12,11.75,31.56,20.35
Diluted Net Income,8.76,2.12,11.75,31.56,20.35
Diluted Weighted Average Shares,196.57,186.36,216.19,233.34,233.34
Diluted EPS Excluding ExtraOrd Items,0.04,0.01,0.06,0.14,0.09
DPS - Common Stock Primary Issue,0.02,0.00,0.01,0.05,0.02
Diluted Normalised EPS,0.04,0.01,0.05,0.15,0.08
