Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0.86,8.93,8.34,5.62,4.91
Short Term Investments,0.76,0.23,0.19,0.14,0.14
Cash and Short Term Investments,1.62,9.15,8.53,5.76,5.05
"Accounts Receivable - Trade, Net",7.40,27.09,12.16,15.57,30.22
"Total Receivables, Net",7.40,27.91,12.76,16.37,31.74
Prepaid Expenses,9.01,7.71,7.67,6.17,7.12
"Other Current Assets, Total",14.32,0,0.13,0.23,0.37
Total Current Assets,41.16,53.57,41.78,45.78,60.22
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0.04,13.89,13.72,16.26,15.17
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,3.98,5.91
Total Assets,41.20,67.67,55.67,66.09,81.39
Accounts Payable,10.83,29.54,16.80,27.30,37.67
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.24
"Other Current liabilities, Total",6.15,6.91,7.58,5.21,5.51
Total Current Liabilities,18.92,38.12,25.73,34.57,55.79
Total Long Term Debt,0.00,6.25,7.32,10.62,5.05
Total Debt,0.01,6.26,7.32,10.94,15.97
Deferred Income Tax,0.00,1.85,1.89,2.09,1.61
"Other Liabilities, Total",3.38,0.01,0.01,0.01,0.00
Total Liabilities,22.31,46.24,34.97,47.31,62.43
"Common Stock, Total",33.25,33.25,33.25,33.25,33.25
Retained Earnings (Accumulated Deficit),-14.36,-24.36,-25.11,-26.82,-27.87
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,10.01,10.37,10.26,10.97
"Other Equity, Total",0.00,2.54,2.19,2.10,2.61
Total Equity,18.89,21.43,20.70,18.78,18.96
Total Liabilities & Shareholders' Equity,41.20,67.67,55.67,66.09,81.39
Total Common Shares Outstanding,642.75,642.75,642.75,642.75,642.75
"Tangible Book Value per Share, Common Eq",0.03,0.03,0.03,0.03,0.03
