Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,153.30,141.83,144.31,131.26,96.93
Total Revenue,153.30,141.83,144.31,131.26,96.93
"Selling/General/Admin. Expenses, Total",14.30,12.91,13.80,13.47,15.09
Depreciation/Amortisation,4.44,4.54,4.48,5.31,3.53
Unusual Expense (Income),1.26,0.67,0.00,0.89,1.58
"Other Operating Expenses, Total",19.44,16.39,14.82,12.83,10.07
Total Operating Expense,156.59,146.87,146.52,132.93,103.35
Operating Income,-3.30,-5.05,-2.21,-1.67,-6.42
"Interest Inc.(Exp.),Net-Non-Op., Total",10.15,9.20,9.40,12.94,27.39
"Other, Net",0,0.00,-0.18,0.77,1.33
Net Income Before Taxes,6.85,4.16,7.01,12.04,22.31
Provision for Income Taxes,0.97,0.34,0.97,0.96,0.32
Net Income After Taxes,5.88,3.81,6.03,11.07,21.99
Net Income Before Extra. Items,5.77,3.64,5.95,11.05,22.02
Net Income,5.77,3.64,5.95,11.05,22.02
Income Available to Com Excl ExtraOrd,5.77,3.64,5.95,11.05,22.02
Income Available to Com Incl ExtraOrd,5.77,3.64,5.95,11.05,22.02
Diluted Net Income,5.77,3.64,5.95,11.05,22.02
Diluted Weighted Average Shares,118.68,118.44,118.66,118.65,118.64
Diluted EPS Excluding ExtraOrd Items,0.05,0.03,0.05,0.09,0.19
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.03,0.03
Diluted Normalised EPS,0.06,0.04,0.05,0.09,0.21
