Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,15 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,247.83,184.34,184.52,188.64,88.60
Total Revenue,247.83,184.34,184.52,188.64,88.60
"Selling/General/Admin. Expenses, Total",18.70,14.13,11.70,10.91,10.45
Depreciation/Amortisation,0.54,0,0,0,0
Unusual Expense (Income),216.33,1.37,133.60,100.68,7.37
"Other Operating Expenses, Total",-6.50,-1.07,0.32,0.98,-1.42
Total Operating Expense,416.19,154.40,296.80,277.64,104.40
Operating Income,-168.36,29.93,-112.28,-89.00,-15.81
"Interest Inc.(Exp.),Net-Non-Op., Total",-26.48,-15.21,-16.37,-43.34,-9.25
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-194.85,14.72,-128.65,-132.34,-25.05
Provision for Income Taxes,-2.31,3.18,4.02,4.58,-0.09
Net Income After Taxes,-192.53,11.54,-132.66,-136.92,-24.96
Net Income Before Extra. Items,-158.25,16.67,-128.18,-134.94,-23.01
Net Income,-158.25,16.67,-128.18,-134.94,-23.01
Income Available to Com Excl ExtraOrd,-158.25,16.67,-128.18,-134.94,-23.01
Income Available to Com Incl ExtraOrd,-158.25,16.67,-128.18,-134.94,-23.01
Diluted Net Income,-158.25,16.67,-128.18,-134.94,-23.01
Diluted Weighted Average Shares,112.42,291.48,556.48,559.35,559.35
Diluted EPS Excluding ExtraOrd Items,-1.41,0.06,-0.23,-0.24,-0.04
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,-0.16,0.06,-0.07,-0.12,-0.03
