Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,31.73,31.73,31.73,31.73,31.73
Cash and Short Term Investments,77.30,39.30,40.10,62.12,38.44
"Accounts Receivable - Trade, Net",91.89,33.96,42.42,36.48,7.43
"Total Receivables, Net",181.41,208.82,204.16,60.16,17.52
Prepaid Expenses,30.28,0,0,0,0
"Other Current Assets, Total",5.11,0,0,5.13,0.00
Total Current Assets,297.28,251.31,249.69,133.27,56.69
"Property/Plant/Equipment, Total - Gross",543.73,0,0,0,0
"Accumulated Depreciation, Total",-171.49,0,0,0,0
"Property/Plant/Equipment, Total - Net",372.23,272.22,237.37,842.58,68.83
"Goodwill, Net",0.00,0,0,0,0
"Intangibles, Net",0.00,0,0,0,0
Long Term Investments,54.03,65.33,80.28,14.84,175.60
Total Assets,725.53,590.89,569.75,991.39,301.82
Accounts Payable,62.49,33.04,65.78,58.18,36.57
Accrued Expenses,77.19,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",62.34,69.59,29.45,50.73,38.93
Total Current Liabilities,267.11,193.69,247.29,374.30,108.40
Total Long Term Debt,275.73,155.15,152.26,504.80,142.93
Total Debt,340.82,246.21,304.31,770.19,175.83
Deferred Income Tax,4.01,4.65,8.05,20.98,1.78
"Other Liabilities, Total",1.08,1.72,2.01,2.21,0.54
Total Liabilities,545.29,347.45,397.37,928.21,233.75
"Common Stock, Total",203.92,344.87,347.75,347.75,347.75
Retained Earnings (Accumulated Deficit),-45.13,-123.89,-197.75,-306.92,-302.13
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",21.46,22.47,22.39,22.35,22.45
Total Equity,180.24,243.45,172.39,63.18,68.07
Total Liabilities & Shareholders' Equity,725.53,590.89,569.75,991.39,301.82
Total Common Shares Outstanding,134.49,550.64,559.35,559.35,559.35
"Tangible Book Value per Share, Common Eq",1.34,0.44,0.31,0.11,0.12
