Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-194.85,14.72,-128.65,-132.34,-25.05
Depreciation/Depletion,26.22,14.24,11.88,71.34,28.16
Non-Cash Items,239.03,20.31,139.33,116.42,10.75
Cash Taxes Paid,1.81,0.72,0.11,2.51,2.04
Changes in Working Capital,-54.14,-50.24,8.06,9.10,-39.84
Cash from Operating Activities,16.80,-0.97,30.63,64.52,-25.99
Capital Expenditures,-27.13,-5.57,-29.36,-52.44,-26.02
"Other Investing Cash Flow Items, Total",43.49,68.54,-91.88,9.82,-17.99
Cash from Investing Activities,16.36,62.97,-121.24,-42.62,-44.01
Total Cash Dividends Paid,-2.92,0,0,0,0
"Issuance (Retirement) of Stock, Net",-5.07,5.95,0.00,0,0
Cash from Financing Activities,-29.49,-100.00,91.42,0.11,46.33
Foreign Exchange Effects,-0.00,-0.01,-0.01,0.00,0
Net Change in Cash,3.67,-38.00,0.81,22.02,-23.68
