Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,56.24,35.35,45.76,45.48,38.29
Short Term Investments,2.37,0,0,0,0
Cash and Short Term Investments,58.62,35.35,45.76,45.48,38.29
"Accounts Receivable - Trade, Net",15.03,39.10,31.52,9.31,8.67
"Total Receivables, Net",207.01,146.37,111.59,74.59,130.59
Prepaid Expenses,0.36,0.58,0.91,0.83,0.74
"Other Current Assets, Total",6.96,42.74,31.34,12.14,3.65
Total Current Assets,272.94,227.06,191.36,134.46,174.52
"Property/Plant/Equipment, Total - Gross",41.21,44.68,45.08,56.72,64.98
"Accumulated Depreciation, Total",-17.28,-21.90,-25.60,-29.37,-32.08
"Property/Plant/Equipment, Total - Net",23.93,22.78,19.49,27.36,32.90
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.31,0.25,0.27,0.24,0.21
Long Term Investments,42.81,112.41,140.15,192.06,150.79
Total Assets,341.20,449.96,475.14,451.98,393.57
Accounts Payable,124.67,126.13,100.91,77.85,36.93
Accrued Expenses,6.32,8.80,4.77,4.54,2.76
Notes Payable/Short Term Debt,0.00,0.91,21.75,13.35,4.11
"Other Current liabilities, Total",10.10,16.99,16.09,18.18,20.51
Total Current Liabilities,153.05,169.91,162.62,133.42,142.43
Total Long Term Debt,51.57,84.20,84.62,92.63,61.55
Total Debt,63.53,98.84,125.46,125.49,143.78
Deferred Income Tax,0.00,0.19,0.13,0.07,0.00
"Other Liabilities, Total",0.23,1.59,0.74,0.51,0.51
Total Liabilities,204.85,257.79,249.63,228.93,206.11
"Common Stock, Total",23.84,25.05,25.05,25.05,25.05
Retained Earnings (Accumulated Deficit),115.79,171.20,197.59,200.63,179.35
Treasury Stock - Common,-4.01,-3.66,-3.30,-3.30,-3.30
Unrealised Gain (Loss),-0.08,-0.53,5.79,0.18,-14.47
"Other Equity, Total",0.80,0.11,0.39,0.49,0.84
Total Equity,136.35,192.17,225.51,223.04,187.47
Total Liabilities & Shareholders' Equity,341.20,449.96,475.14,451.98,393.57
Total Common Shares Outstanding,229.17,232.39,235.01,235.01,235.01
"Tangible Book Value per Share, Common Eq",0.59,0.83,0.96,0.95,0.80
