Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,248.01,233.87,159.81,162.56,82.94
Total Revenue,248.01,233.87,159.81,162.56,82.94
"Selling/General/Admin. Expenses, Total",14.14,10.50,11.45,19.97,22.15
Depreciation/Amortisation,2.59,2.92,3.46,0,0
Unusual Expense (Income),0.01,1.84,0.72,1.90,-0.39
"Other Operating Expenses, Total",-2.36,-1.81,2.91,1.16,6.92
Total Operating Expense,210.35,165.01,132.29,138.30,96.34
Operating Income,37.67,68.85,27.53,24.26,-13.40
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,37.67,68.85,27.53,24.26,-13.40
Provision for Income Taxes,4.61,5.94,4.62,7.39,5.43
Net Income After Taxes,33.06,62.91,22.91,16.88,-18.83
Net Income Before Extra. Items,34.67,62.76,23.48,16.31,-18.04
Net Income,34.67,62.76,23.48,16.31,-18.04
Income Available to Com Excl ExtraOrd,34.67,62.76,23.48,16.31,-18.04
Income Available to Com Incl ExtraOrd,34.67,62.76,23.48,16.31,-18.04
Diluted Net Income,34.67,62.76,23.48,16.31,-18.04
Diluted Weighted Average Shares,229.83,229.76,232.86,234.55,235.01
Diluted EPS Excluding ExtraOrd Items,0.15,0.27,0.10,0.07,-0.08
DPS - Common Stock Primary Issue,0.04,0.02,0.03,0.02,0.00
Diluted Normalised EPS,0.15,0.28,0.12,0.08,-0.05
