Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,37.67,68.85,27.53,24.26,-13.40
Depreciation/Depletion,6.12,4.95,4.31,4.12,4.83
Non-Cash Items,-10.31,-43.93,-3.02,-2.00,38.88
Cash Taxes Paid,2.48,4.77,10.35,9.72,4.68
Changes in Working Capital,-6.19,-17.64,-26.71,17.72,-27.28
Cash from Operating Activities,27.30,12.23,2.13,44.15,3.05
Capital Expenditures,-1.86,-1.32,-0.75,-11.87,-2.80
"Other Investing Cash Flow Items, Total",-44.14,-8.63,-20.99,-35.27,-17.23
Cash from Investing Activities,-46.00,-9.95,-21.74,-47.13,-20.03
Total Cash Dividends Paid,-10.31,-7.45,-5.23,-5.28,-3.53
"Issuance (Retirement) of Stock, Net",1.00,0.20,0.81,0.18,0
Cash from Financing Activities,-22.66,15.86,16.35,-14.85,0.68
Foreign Exchange Effects,-0.35,-0.13,0.02,0.23,0.51
Net Change in Cash,-41.72,18.02,-3.24,-17.61,-15.79
