Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,49.64,28.80,56.52,80.83
Short Term Investments,41.97,0,0,0,0
Cash and Short Term Investments,41.97,49.64,28.80,56.52,80.83
"Accounts Receivable - Trade, Net",49.43,67.54,86.06,73.94,68.17
"Total Receivables, Net",51.78,72.01,91.79,77.20,70.73
Prepaid Expenses,7.08,9.18,9.80,11.71,9.04
"Other Current Assets, Total",16.21,6.44,0.00,0.00,13.23
Total Current Assets,119.65,139.67,132.40,147.06,175.47
"Property/Plant/Equipment, Total - Gross",393.72,0,0,0,0
"Accumulated Depreciation, Total",-156.67,0,0,0,0
"Property/Plant/Equipment, Total - Net",237.05,215.45,144.63,123.52,149.49
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0.03,0.09,0.10,1.14
Long Term Investments,9.72,10.77,12.62,15.43,16.68
Total Assets,372.42,365.98,289.83,286.18,342.84
Accounts Payable,21.72,24.28,25.93,23.88,18.56
Accrued Expenses,17.13,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.86,26.76,25.74,23.57,30.59
Total Current Liabilities,63.65,68.53,61.57,57.82,70.13
Total Long Term Debt,63.77,46.87,34.84,35.19,74.69
Total Debt,84.71,64.36,44.75,45.55,95.67
Deferred Income Tax,0.00,0.05,0.04,0.02,0.02
"Other Liabilities, Total",0.15,0.08,0.03,0.00,0.00
Total Liabilities,132.30,120.27,100.75,95.73,147.44
"Common Stock, Total",68.76,68.76,68.76,68.76,68.76
Retained Earnings (Accumulated Deficit),187.05,191.05,121.04,122.76,127.11
Treasury Stock - Common,-0.17,-0.17,-0.17,-0.17,-0.17
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-15.52,-13.93,-0.55,-0.90,-0.28
Total Equity,240.12,245.70,189.08,190.45,195.41
Total Liabilities & Shareholders' Equity,372.42,365.98,289.83,286.18,342.84
Total Common Shares Outstanding,538.04,538.04,538.04,538.04,538.04
"Tangible Book Value per Share, Common Eq",0.45,0.46,0.35,0.35,0.36
