Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,139.99,96.14,102.41,102.73
Short Term Investments,51.27,64.07,80.21,16.71,11.67
Cash and Short Term Investments,202.14,204.07,176.35,119.12,114.41
"Accounts Receivable - Trade, Net",69.52,48.90,54.10,61.74,51.78
"Total Receivables, Net",75.37,53.48,62.20,86.43,115.93
Prepaid Expenses,1.62,1.52,1.62,1.66,2.71
"Other Current Assets, Total",0,72.11,0,0,0
Total Current Assets,496.48,592.32,371.43,322.09,443.95
"Property/Plant/Equipment, Total - Gross",31.00,46.65,37.26,47.67,50.08
"Accumulated Depreciation, Total",-22.63,-24.95,-12.86,-14.35,-16.85
"Property/Plant/Equipment, Total - Net",8.37,21.70,24.40,33.32,33.23
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,167.91,202.64,323.29,548.65,744.89
Total Assets,704.16,853.12,765.95,950.90,1236.59
Accounts Payable,85.70,40.81,36.88,43.11,30.62
Accrued Expenses,0,33.75,39.93,28.33,31.50
Notes Payable/Short Term Debt,0.00,0.00,168.26,92.76,150.79
"Other Current liabilities, Total",111.66,131.76,32.77,60.06,48.13
Total Current Liabilities,298.30,405.38,277.84,235.16,275.50
Total Long Term Debt,33.92,17.25,12.13,175.05,381.61
Total Debt,134.85,216.32,180.39,278.70,546.85
Deferred Income Tax,0.00,3.43,2.57,2.25,3.41
"Other Liabilities, Total",29.70,79.15,97.46,140.30,156.18
Total Liabilities,363.58,500.21,401.94,557.95,818.68
"Common Stock, Total",130.31,130.31,130.31,130.31,130.31
Retained Earnings (Accumulated Deficit),212.68,225.83,242.72,270.85,292.88
Treasury Stock - Common,-4.57,-4.57,-4.57,-4.57,-4.57
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",2.18,1.34,-4.44,-3.64,-0.70
Total Equity,340.58,352.91,364.01,392.95,417.91
Total Liabilities & Shareholders' Equity,704.16,853.12,765.95,950.90,1236.59
Total Common Shares Outstanding,919.25,919.25,919.25,919.25,919.25
"Tangible Book Value per Share, Common Eq",0.37,0.38,0.40,0.43,0.45
