Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,164.25,160.35,293.69,191.79,189.95
Total Revenue,164.25,160.35,293.69,191.79,189.95
"Selling/General/Admin. Expenses, Total",15.98,18.47,27.11,24.13,23.38
Depreciation/Amortisation,2.48,0,0,0,0
Unusual Expense (Income),-0.00,0.01,0.33,0.00,0.26
"Other Operating Expenses, Total",-6.41,-2.22,-3.61,-4.88,-4.74
Total Operating Expense,140.75,134.71,246.30,148.80,160.56
Operating Income,23.51,25.64,47.40,42.99,29.39
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,23.51,25.64,47.40,42.99,29.39
Provision for Income Taxes,6.11,6.87,15.90,8.07,5.20
Net Income After Taxes,17.40,18.77,31.50,34.92,24.18
Net Income Before Extra. Items,17.27,18.67,23.32,34.57,28.46
Net Income,17.27,18.67,23.32,34.57,28.46
Income Available to Com Excl ExtraOrd,17.27,18.67,23.32,34.57,28.46
Income Available to Com Incl ExtraOrd,17.27,18.67,23.32,34.57,28.46
Diluted Net Income,17.27,18.67,23.32,34.57,28.46
Diluted Weighted Average Shares,919.25,919.25,919.25,919.25,919.25
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.03,0.04,0.03
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.02,0.03,0.04,0.03
