Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,128.88,112.02,187.56,204.88,115.74
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,128.88,112.02,187.56,204.88,115.74
"Accounts Receivable - Trade, Net",715.51,688.15,213.19,140.15,36.46
"Total Receivables, Net",716.60,690.99,213.19,153.40,113.75
Prepaid Expenses,0,0,24.34,86.60,0.09
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,1164.48,1149.41,534.61,500.70,250.93
"Property/Plant/Equipment, Total - Gross",6.24,7.06,0.00,6.58,4.91
"Accumulated Depreciation, Total",0,0,0,-1.85,-1.72
"Property/Plant/Equipment, Total - Net",81.77,85.60,2.98,4.73,3.20
"Goodwill, Net",19.17,10.45,0.00,0.00,0
"Intangibles, Net",32.48,33.84,3.09,2.32,1.54
Long Term Investments,0,0,3.20,3.20,2.39
Total Assets,1305.34,1286.75,543.89,510.95,258.06
Accounts Payable,0,0,44.99,13.89,6.10
Accrued Expenses,0,0,3.27,3.10,2.96
Notes Payable/Short Term Debt,28.53,21.59,0.00,0.00,23.80
"Other Current liabilities, Total",18.09,21.52,46.94,18.17,7.34
Total Current Liabilities,633.02,614.85,245.73,45.25,40.56
Total Long Term Debt,45.20,24.44,0.00,185.01,1.01
Total Debt,359.27,310.41,150.53,195.10,25.18
Deferred Income Tax,1.09,1.13,0.00,0.00,0
"Other Liabilities, Total",3.46,9.25,0.00,0.00,0
Total Liabilities,675.85,640.09,245.73,230.26,41.57
"Common Stock, Total",106.85,106.85,107.42,107.42,107.42
Retained Earnings (Accumulated Deficit),522.64,539.81,35.59,27.46,-34.74
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,-0.82
"Other Equity, Total",0,0,11.77,2.42,1.24
Total Equity,629.49,646.66,298.16,280.69,216.49
Total Liabilities & Shareholders' Equity,1305.34,1286.75,543.89,510.95,258.06
Total Common Shares Outstanding,275.44,275.44,275.44,275.44,275.44
"Tangible Book Value per Share, Common Eq",2.10,2.19,1.07,1.01,0.78
