Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,0.12,0.47,0.53,0.68,0.39
Total Revenue,0.12,0.47,0.53,0.68,0.39
"Selling/General/Admin. Expenses, Total",2.26,2.11,2.06,2.05,1.92
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.01,2.23,1.30,1.53,0
"Other Operating Expenses, Total",-0.52,0.69,-0.75,1.58,0.26
Total Operating Expense,1.84,5.72,3.92,4.89,2.74
Operating Income,-1.72,-5.24,-3.39,-4.21,-2.34
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.72,-5.24,-3.39,-4.21,-2.34
Provision for Income Taxes,0.00,0.00,0.00,0.00,0.00
Net Income After Taxes,-1.72,-5.25,-3.39,-4.21,-2.35
Net Income Before Extra. Items,-1.65,-4.04,-3.55,-4.20,-2.32
Net Income,-0.49,-7.66,-3.55,-4.20,-2.32
Income Available to Com Excl ExtraOrd,-1.65,-4.04,-3.55,-4.20,-2.32
Income Available to Com Incl ExtraOrd,-0.49,-7.66,-3.55,-4.20,-2.32
Diluted Net Income,-0.49,-7.66,-3.55,-4.20,-2.32
Diluted Weighted Average Shares,141.01,166.91,177.07,177.07,177.07
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.02,-0.02,-0.02,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.02,-0.01,-0.02,-0.01
