Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-12.44,-1.65,3.68,0.93,-7.14
Depreciation/Depletion,2.08,1.04,0.89,0.90,0.85
Non-Cash Items,18.97,8.72,-0.07,2.79,9.45
Cash Taxes Paid,0.64,0.04,0.55,0.38,0.01
Changes in Working Capital,1.37,-23.64,-15.23,-22.62,-29.48
Cash from Operating Activities,10.77,-14.76,-10.66,-17.99,-26.32
Capital Expenditures,-1.08,-0.60,-0.41,-0.16,-0.03
"Other Investing Cash Flow Items, Total",-2.25,7.67,-0.48,0.73,-0.09
Cash from Investing Activities,-3.33,7.08,-0.90,0.56,-0.12
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,5.25,13.16,0.00,0
Cash from Financing Activities,-5.97,7.56,5.86,17.10,31.27
Foreign Exchange Effects,0.14,0.39,-0.39,-0.13,-0.03
Net Change in Cash,1.61,0.27,-6.08,-0.46,4.80
